headline,link,date,content
India's April-February fiscal deficit at 85.8% of full-year target,https://economictimes.indiatimes.com/news/economy/finance/indias-april-february-fiscal-deficit-at-85-8-of-full-year-target/articleshow/119650073.cms,28-03-2025,"India's
fiscal deficit
for April-February was 13.47 trillion rupees ($157.62 billion), or 85.8% of the estimate for the financial year ending March 31, government data showed on Friday.
Net
tax
receipts for the first 11 months of the financial year were at 20.16 trillion rupees, or 78.8% of the annual target, compared with 18.49 trillion rupees for the same period a year earlier, the data showed.
India's financial year runs from April through March.
Total government expenditure for the 11 months was 38.93 trillion rupees or about 82.5% of the annual goal. Capital expenditure, or spending on building physical infrastructure, was 8.12 trillion rupees, or 79.7% of the annual target.
In the annual budget in February, India revised lower its fiscal deficit target for the current financial year to 4.8% of GDP and aimed to further narrow it to 4.4% in 2025-26.
Live Events
The government, which plans to shift to debt-to-GDP as the key benchmark for fiscal policy from 2026-27, said it would aim to bring debt down to a level of 50% by March 2031 from about 57%.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Centre to borrow Rs 8 lk cr in 1st half of FY26 through dated papers,https://economictimes.indiatimes.com/news/economy/finance/centre-to-borrow-rs-8-lk-cr-in-1st-half-of-fy26-through-dated-papers/articleshow/119612201.cms,28-03-2025,"The Centre will borrow ₹8 lakh crore from the market through dated securities in the first half of the next fiscal, which constitutes 54% of the full-year target, the
finance ministry
said on Thursday.
The amount is lower than 56-59% of the annual target that some analysts had projected but is slightly higher than what the government had announced for the first half of the current fiscal.
The borrowing includes ₹10,000 crore through
sovereign green bonds
.
Experts said the borrowing target aims to enable the government to fund its revenue gap in the first half of 2025-26 without causing any disruption in the bond market. It's also unlikely to crowd out state governments and private players in the debt market, they added.
Live Events
Yield on the benchmark 10-year securities closed at 6.6022% on Thursday, hitting its lowest in more than three years.
The government has budgeted gross market borrowing of ₹14.82 lakh crore (through dated securities) for 2025-26. Of this, net borrowing is pegged at ₹11.54 lakh crore. It aims to contain its fiscal deficit at 4.4% of gross domestic product during the year, against 4.8% this fiscal. The borrowing in the first half is proposed to be over in 26 weekly tranches of ₹25,000-36,000 crore each, the finance ministry said in a statement.
""As hitherto, all the auctions covered by the (borrowing) calendar will have the facility of non-competitive bidding under which 5% of the notified amount will be reserved for the specified retail investors,"" the ministry said.
The share of borrowing under different maturities will be: three-year (5.3%), five-year (11.3%), seven-year (8.2%), 10-year (26.2%), 15-year (14%), 30-year (10.5%), 40-year (14%) and 50-year (10.5%).
""The borrowing target is along the expected lines. The composition of securities with different maturity periods, however, is tweaked a bit,"" said
India Ratings chief economist
DK Pant.
The proportion of shorter tenure (three-five years) papers is proposed to go up to 16.6% from 14.4% a year before and that of longer-term papers (15-50 years) will drop to 49% from 51.2%, Pant said. However, the share of medium-term (seven to 10-year) papers remains the same at 34.4%.
The government will reserve the right to exercise the greenshoe option to retain an additional subscription of up to ₹2,000 crore against each of the securities.
Weekly borrowing through treasury bills is expected to be ₹19,000 crore for 13 weeks, with issuance of 91-day papers worth ₹9,000 crore, 182-day ones worth ₹5,000 crore and another ₹5,000 crore through 364-day securities.
To meet temporary mismatches in the government accounts, the
Reserve Bank of India
has fixed the ways and means advances limit for the first half at ₹ 1.50 lakh crore.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Govt to borrow Rs 8 lakh crore in first half of FY26,https://economictimes.indiatimes.com/news/economy/finance/govt-to-borrow-rs-8-lakh-crore-in-first-half-of-fy26/articleshow/119600127.cms,27-03-2025,"The Ministry of Finance on Thursday announced its borrowing plan for the first half (H1) of FY 2025-26. As part of this, the government will raise Rs 8 lakh crore, which is 54% of the total market borrowing of Rs 14.82 lakh crore for the year.
A portion of this borrowing, amounting to Rs 10,000 crore, will be raised through Sovereign Green Bonds (SGrBs) to fund environmentally sustainable projects.
The borrowing will be conducted through 26 weekly auctions, with securities maturing between 3 and 50 years.
""The market borrowing will be spread over 3, 5, 7, 10, 15, 30, 40 and 50 year securities. The share of borrowing (including SGrBs) under different maturities will be: 3-year (5.3%), 5-year (11.3%), 7-year (8.2%), 10-year (26.2%), 15-year (14.0%), 30-year (10.5%), 40-year (14.0%) and 50-year (10.5%),"" said the government in a notification.
To manage debt repayment efficiently, the government will buy back or switch securities to smoothen the redemption profile. It has also reserved the right to retain an additional Rs 2,000 crore per security in case of strong demand.
Live Events
In addition to long-term borrowing, the government will also issue Treasury Bills (T-Bills) worth Rs 19,000 crore weekly in Q1 of FY26. This will include Rs 9,000 crore in 91-day T-Bills, ₹5,000 crore in 182-day T-Bills, and Rs 5,000 crore in 364-day T-Bills.
To address temporary mismatches in cash flow, the RBI has set the Ways and Means Advances (WMA) limit at Rs 1.50 lakh crore for the first half of the financial year.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
State debt to hit Rs 94 lakh cr: Report,https://economictimes.indiatimes.com/news/economy/finance/state-debt-to-hit-rs-94-lakh-cr-report/articleshow/119556053.cms,27-03-2025,"New Delhi: States' debt is projected to reach ₹94.4 lakh crore by March 2025, accounting for 32.7% of gross state domestic product (
GSDP
), according to a
CareEdge Ratings
report released Wednesday. The debt is expected to rise further to ₹103.6 lakh crore by FY26 due to
capital expenditure
and a growing
revenue deficit
, the report noted. In 2019, the
debt-GSDP ratio
was 29.3%.
The analysis covered 15 states that accounted for 87% of
India's GSDP
in FY24, including Bihar, Gujarat, Kerala, Maharashtra and UP.
Revenue deficit is forecast to hit 0.6% of GSDP in FY25 and 0.63% in FY26.
Fiscal deficit
is seen falling to 2.7% of GSDP in FY25, mainly due to underachievement of capital outlay goals.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"Co-operation between stakeholders important to counter threats from money laundering, terror funding: RBI Guv",https://economictimes.indiatimes.com/news/economy/finance/co-operation-between-stakeholders-important-to-counter-threats-from-money-laundering-terror-funding-rbi-guv/articleshow/119537266.cms,26-03-2025,"Close co-operation among government agencies, financial entities in both the public and private sectors and civil society is need to effectively counter the threats from
money laundering
and
terror financing
which are continuously evolving and becoming more sophisticated.,
Reserve Bank of India
(RBI) governor
Sanjay Malhotra
said.
He also warned that even as policy makers work to make financial systems safe and secure against money laundering and terror financing, they need to be mindful that our measures are not over-zealous and do not stifle legitimate activities and investments.
“You would appreciate that multiple laws and rules, each with their own level of granularity cast a high level of burden of compliance on the regulated financial service providers…Therefore, we need to have laws and regulations which, with surgical precision, target only the illegitimate and illicit, rather than use them as blunt tools which unintentionally hurt even the honest,” Malhotra said. He was delivering a speech at the Private Sector Collaborative Forum (PSCF) 2025 of the
Financial Action Task Force
(FATF), here.
The governor said that while implementing regulations, a risk-based approach is recommended. “We need to continuously refine and improve our risk assessment models to make them robust,” he said.
FATF, the standard setting body for illicit financing was established in 1989. It has evolved from an organisation with only 16 members to a global forum with 40 members. The standards developed by FATF are used by over 200 jurisdictions to combat money laundering (ML), terrorism financing (TF) and proliferation financing.
Live Events
Malhotra said to make refinements in the risk assessment models, the quality of data has to be improved and emerging technologies, harnessed. “This will help improve screening of transactions and detection of suspicious activities thereby reducing false positives and false negatives. Considering the evolving landscape in the area of money laundering resulting from changing customer behaviour and evolving products and services, we need to continuously augment
Anti Money Laundering
(AML) risk assessment framework and make appropriate system enhancements on a regular basis after assessing the impact of machine learning and other risks,” he said.
Understanding the latest trends and developments in the financial world that can be exploited by criminals will allow to develop tools and enabling frameworks to detect suspicious transactions and activities early and take pre-emptive action.
While doing customer due diligence, reporting entities collect a large amount of data from customers. This information is sometime shared with the Financial Intelligence Units (FIUs), law enforcement agencies and data registries leading to concerns regarding
data protection
and sharing of information without consent. “India has recently enacted a law for Digital Personal Data Protection. Exchange of experiences from different jurisdictions will help us in better implementing the law in our country,” he said.
Malhotra said developing countries like India have made huge progress in making
digital payments
accessible, affordable, and convenient but to meet the G20 objective of making
cross-border payments
faster, cheaper, more transparent and more inclusive, while maintaining their safety and security, it would be desirable to make the travel rule for cross border payments technology-neutral.
“Let us build financial systems that not only thwart the attempts of money laundering, terror financing and proliferation financing, but also support financial inclusion, encourage innovation, and facilitate economic growth,” he said.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
RBI Governor Sanjay Malhotra says fight against dirty money shouldn't choke investments,https://economictimes.indiatimes.com/news/economy/finance/determined-to-combat-illicit-financial-activities-but-measures-cannot-be-overzealous-which-can-stifle-investments-rbis-sanjay-malhotra/articleshow/119518944.cms,26-03-2025,"Reserve Bank of India
governor
Sanjay Malhotra
, while addressing
Private Sector Collaborator Forum 2025
in Mumbai, asserted that the measures taken to combat
money laundering
should not be overzealous which can stifle legitimate activities and investments.
""While we continue to keep our financial systems safe from money laundering and terrorist financing, policymakers must ensure that our measures are not overzealous and do not stifle legitimate activities and investments,"" Malhotra said on Wednesday.
India has made substantial progress on financial inclusion with 94 per cent of adults now having a bank account, Malhotra said, adding a word of caution for regulators.
Pitching for ""balanced regulations"", Malhotra said adopting a risk-based approach would be beneficial and added that assessing impact on people and businesses is essential. Malhotra said stakeholders also need to coordinate better and look at avoiding the ""unnecessary"" process of making people repeatedly undergo the know your customer (KYC) requirements.
Speaking about technology, Malhotra said while it has enabled ease of doing business, it has also led to sophisticated means of money laundering and illicit financing.
Live Events
""We are determined to further strengthen our financial system to deter and combat
illicit financial activities
,"" he said.
Deliberations at the three-day seminar will help India better implement the new privacy law in our country, he said.
Impact on economy:
Money laundering (ML) and related underlying crimes, as well as terrorist financing (TF) and the financing of the proliferation of weapons of mass destruction (WMD) or proliferation financing (PF) are crimes with economic effects—they can threaten the integrity and stability of a country’s financial sector and a country’s external stability more generally, an IMF report said.
Additionally, such activites can result in destabilizing “hot money” resulting from inflows and outflows, as well as in banking crisis, ineffective revenue collection, broader governance weaknesses, reputational risks for international financial centers, and loss of correspondent banking relationships (CBRs).
RBI remains alert:
Recently, the central bank in a report had flagged that with the rise in digitisation it has seen an increased risk of cyber attacks, digital frauds, data breaches and operational failures. In its report on Trend and Progress of Banking In India, the regulator called upon banks, non-bank financial companies (NBFCs) and co-operative banks to strengthen their risk management standards.
It also said that there was a need to have tighter IT governance arrangements and customer onboarding and transaction monitoring systems to check unscrupulous activities, including suspicious and unusual transactions.
The central bank has also asked banks, NBFCs, and other entities regulated by it to use information obtained from all relevant internal and external sources for their risk assessment exercise.
In this regard, the central bank has issued 'The Internal Risk Assessment Guidance for Money Laundering/ Terrorist Financing' for the REs, particularly for the dealing staff and the Anti-Money Laundering (AML)/ Countering Financing of Terrorism (CFT) / Counter Proliferation Financing (CPF) practitioners of the REs.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Modi banks on households to rein in a ₹29.7 lakh crore debt pile,https://economictimes.indiatimes.com/news/economy/finance/modi-banks-on-households-to-rein-in-a-346-billion-debt-pile/articleshow/119515287.cms,26-03-2025,"Prime Minister Narendra
Modi
has a $346 billion
debt
problem that his administration wants help for from the nation’s
households
.
A record 29.7 trillion rupees ($346 billion) of
sovereign bonds
are due over the next five years, a result of pandemic-era
borrowing
and Modi’s infrastructure-spending binge. To tackle the burden, the Reserve Bank of India and the government are swapping maturing debt with longer-dated notes.
These refinancing debt auctions are gaining momentum thanks to an increasingly influential player: households. They’ve been pouring money into insurers, which in turn are buying heaps of long-dated sovereign bonds. The demand is so great that the head of Life Insurance Corp. of India, the nation’s largest, even floated the idea of issuing 100-year paper.
“Households are looking to deploy their savings pool in instruments that provide a longer-term investment horizon than the conventional banking system,” says Soumyajit Niyogi, director at India Ratings, a unit of Fitch Ratings. This shift is transforming India’s government securities market, he said.
The finance ministry has set a record target of 2.5 trillion rupees of debt to be swapped for the fiscal year starting April 1. With the insurance sector expanding at 12%-13% annually, the goal is within reach, according to Vidya Iyer, head of fixed income at ICICI Prudential Life Insurance, which had 3.1 trillion rupees in assets as of December.
Live Events
The
debt swap strategy
paid off last year. In the September quarter, the average yield on new issuances eased by 20 basis points to 6.9%, while their maturity stretched to 20.5 years, according to the latest government data.
Bloomberg
Insurers, keen for longer-term assets to match their liabilities, have piled into these switch operations, said Ajit Banerjee, chief investment officer at Shriram Life Insurance Ltd. Given the dearth of quality long-term debt papers in the market, the demand for sovereign notes is here to stay, he said.
To cash in on this trend, the government has tilted its borrowing toward long-tenor paper. In the current fiscal year ending March 31, the government packed 38% of its debt sales in bonds maturing in 30 years or more, up from 25% four years ago. New Delhi is due to announce its borrowing plan for the April-September period this week.
Bond Vigilantes
For India’s public finance managers, this demand is a welcome shift from just a few years back, when bond vigilantes would quickly push up borrowing costs at the slightest hint of increased borrowings.
To be sure, the government’s switch strategy faces challenges. A sharp increase in provincial debt sales, driven by increased spending on welfare programs, may reduce the attractiveness for insurers. States typically offer higher yields.
The “real test of demand” will occur in the year that starts April 1 as provinces also step up longer-tenor debt sales, according to A. Prasanna, chief economist at ICICI Securities Primary Dealership.
Still, what gives policymakers confidence in debt switch auctions is the growth outlook for the insurance sector. Analysts at Swiss Re predict that India’s insurance market will be the fastest-growing in the Group-of-20 nations over the next five years, with 90% of premiums flowing into investment products.
Bloomberg
“Demand for long bonds is here to stay and insurance companies will remain the primary players in determining the shape of the yield curve at the long end,” ICICI Prudential’s Iyer said.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Yields of March help states borrow more in absence of G-Secs,https://economictimes.indiatimes.com/news/economy/finance/yields-of-march-help-states-borrow-more-in-absence-of-g-secs/articleshow/119496680.cms,26-03-2025,"Mumbai: States have increased their borrowings in the last month of the financial year, as raising funds is comparatively cheaper with low yields, due to the absence of central
government security auctions
in March, treasury experts said.
Cut-off on 10-year SDL paper
""The absence of G-Sec supply has facilitated strong absorption of SDL issuances by
institutional investors
. They are also positioning ahead of the April policy, anticipating rate cuts in April and/or June to drive mark-to-market gains in the next fiscal year,"" said
Venkatakrishnan Srinivasan
, founder of
Rockfort Fincap
, a debt advisory firm. As many as 21 states jointly raised ₹72,255 crore on Tuesday, as against ₹56,621 crore notified earlier. The average cut-off on 10-year
state development loans
(SDL) security was 7.05%.
In the previous three SDL auctions held in March, the amount raised by state governments was revised upward by about ₹10,000 crore. The yields on SDL have fallen steadily since the beginning of this month, with bonds sold in the range of 7.34-7.21%.
The 10-year yields of the benchmark government security were traded at 6.64% on Tuesday, down from 6.72% at the beginning of March, CCIL data showed.
Softer SDL yields are due to the absence of central government security auctions and expectations of a rate cut in the upcoming monetary policy on April 9, experts said.
Live Events
Experts view
Experts believe liquidity infusion by the
Reserve Bank of India
(RBI) has also provided banks with enough funds, enabling them to invest in SDLs. The
RBI
has been conducting operations to infuse durable liquidity via open market operations and foreign exchange swaps.
""There has been a lot of liquidity provided by the RBI, so unless we don't have other government security auctions, these SDL auctions will see an increase in demand,"" said
Madan Sabnavis
, chief economist at
Bank of Baroda
.
The average liquidity deficit in the banking system is around ₹1.6 lakh crore.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
No plan to remove long-term capital gains tax; markets have rewarded long-term investments: MoS for finance,https://economictimes.indiatimes.com/news/economy/finance/no-plan-to-remove-long-term-capital-gains-tax-markets-have-rewarded-long-term-investments-mos-for-finance/articleshow/119490086.cms,25-03-2025,"The government has no plan for now to abolish the
long-term capital gains tax
and that the
Indian stock markets
have “consistently performed positively for long term investments”, minister of state for finance
Pankaj Chaudhary
told the Rajya Sabha on Tuesday.
Chaudhary was responding to a question on whether the government would abolish the long-term
capital
gains tax “to restore the sentiments of the market and to arrest the free fall of the market”.
He, however, added that the Budget for 2024-25 had introduced significant changes to rationalise and simplify the long-term capital gains tax regime. These included the rationalisation of holding periods and rates of taxation for financial and non-financial capital assets.
In a written reply, Chaudhary said despite the latest fall, the Indian stock
markets
have consistently rewarded long-term investments. The
benchmark
NIFTY-50 index has yielded an 11.13% return on a compounded annual growth rate basis since its inception in 1996, he said.
He said benchmark indices--NSE NIFTY-50 and BSE Sensex--showed a consistent upward trend until September 2024, scaling new highs. This has, however, started moderating since October 2024. The
market capitalization
of all companies listed on the NSE and the BSE has dropped by around Rs 74 lakh crore between October 1, 2024, and March 18, 2025, he said.
Live Events
Between October 1, 2024, and March 25, the Sensex has dropped to 78,017 points from 84,266 points.
The minister said
stock market
movements are a function of investor perceptions along with factors, including global economic scenarios. Geo-political uncertainties affecting foreign capital flows, domestic macro-economic parameters and overall corporate performance are among the economic conditions that impact stock market performances.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Goa CM Sawant appointed convenor of GoM on GST revenue analysis,https://economictimes.indiatimes.com/news/economy/finance/goa-cm-sawant-appointed-convenor-of-gom-on-gst-revenue-analysis/articleshow/119462628.cms,25-03-2025,"Panaji:
Goa Chief Minister Pramod Sawant
has been appointed as the convenor of the Group of Ministers (GoM) on GST revenue analysis, officials said on Tuesday. The GST Council, in the 55th meeting held on December 21, 2024 at Jaisalmer in Rajasthan, decided that the GoM on Analysis of Revenue from GST may be reconstituted with revised terms of reference.
The office of the Goods and
Service Tax
(GST) Council, in a memorandum issued on March 3, 2025, appointed Sawant as the convenor.
The other members of the committee include Samrat Chaudhary (deputy chief minister of Bihar), Om Prakash Choudhary (Chhattisgarh finance minister), Kanubhai Desai (Gujarat finance and energy minister), Payyavula Keshav (Andhra Pradesh minister for finance, planning, commercial taxes and legislative), Ajit Pawar (Maharashtra Dy CM and finance minister), Harpal Singh Cheema (Punjab finance minister), Thangam Thennarasu (Tamil Nadu finance and human resources management minister) and Mallu Bhatti Vikramarka (Telangana finance and planning minister).
As per the memorandum, the terms of reference for the GoM comprise
state-wise revenue trend analysis
, including the identification of revenue patterns across sectors and regions.
The GoM is mandated to review details of revenue from inter-state outward supply, review sector-wise analysis and identify and recommend sectors specific issues that need policy intervention or enforcement measures.
Live Events
The group is also mandated to analyse the effect of
macroeconomic policy
changes and sectoral/geographical factors on GST revenue, including the specific challenges faced by agrarian and smaller states.
It will also analyse the consequences of amendments made in the GST Act and rules/ notifications.
The GoM will also review and recommend harmonisation of anti-evasion, audit, and scrutiny tools developed by various agencies to create a unified enforcement and compliance platform.
The group is also mandated to suggest suitable measures/policy intervention for course correction for revenue augmentation, particularly for the states suffering high revenue shortfall, the memorandum said.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
