headline,link,date,content
Smart metering programme can help discoms generate Rs 4 lakh crore additional revenue: Care Edge,https://economictimes.indiatimes.com/industry/energy/power/smart-metering-programme-can-help-discoms-generate-rs-4-lakh-crore-additional-revenue-care-edge/articleshow/119741566.cms,30-03-2025,"Power distribution companies (discoms) could generate an additional revenue potential of around Rs 4.0 lakh crore over the next seven years by installing smart meters across India,
Care Edge Ratings
said in a report this week.
Should billing and collection efficiencies improve substantially, the financial gains could exceed initial projections, further bolstering the financial health of the power sector, the rating agency asserted.
India's power distribution sector is undergoing a critical transformation with the push towards smart grids. The implementation of advanced metering infrastructure (AMI) has shown positive results by far.
The installation of smart meters has been progressing, with around 2.0 crore meters installed by January 2025, according to Care Edge.
However, the report anticipates that
smart meter installations
will reach only 25 per cent of the target of 25 crore meters by March 2026, falling short of the government's set goal.
Live Events
""The ambitious target of installing 25 crore smart meters requires a significant investment of Rs 1.25 lakh crore, with Rs 95,000 crore in debt and a 25 per cent equity contribution,"" said the report.
The smart metering system has significant potential, as they play a key role in enhancing power sector efficiency through real-time monitoring, reducing
power theft
, and improving demand forecasting.
However, Care Edge asserts that the rollout of the scheme has been slow due to consumer resistance, operational and maintenance challenges, and delayed budgetary support.
As the smart meter rollout gains momentum, timely policy support, financial incentives, and effective collaboration between power distribution companies and technology providers will be essential to install 25 crore smart meters over the next 3-4 years.
""This will be particularly important after the likely miss of the March 2026 target to fully realise the benefits of smart metering and unlock additional revenue,"" said the report.
Smart meter penetration in India, currently at 5-6 per cent, lags behind developed nations like Japan (100 per cent) and the USA (73 per cent), as well as the global average of 43 per cent.
Now, India is making significant strides with its ambitious plan to install 25 crore smart meters over five years, from 2021-22 to 2025-26, presenting a USD 20-25 billion opportunity for the energy sector under the Revamped Distribution Sector Scheme (RDSS), which was launched in 2017.
""Moving forward, challenges will remain in achieving consistent progress across states and further accelerating delivery while realising the intended sustainability benefits. Although state regulators and the Ministry of Power mandate this transition, discoms must take a proactive role in managing the change, both at the organisational and consumer levels, to ensure a smooth and collaborative implementation,"" Care Edge said.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"India to build five Bharat nuclear reactors with private participation, soon: Govt",https://economictimes.indiatimes.com/industry/energy/power/india-to-build-five-bharat-nuclear-reactors-with-private-participation-soon-govt/articleshow/119609160.cms,27-03-2025,"New Delhi: Five indigenously-manufactured modular reactors — named
Bharat nuclear reactors
— will be manufactured in the next few years with the help of private participation in the nuclear sector, the government stated in the Rajya Sabha on Thursday. The plan to generate 100 Gigawatt by 2047 is functional with a 170% increase in the nuclear energy budget in the last decade.
Replying to supplementary questions during Question Hour in the Upper House, Minister of State in the Prime Minister’s Office Jitendra Singh said the “out of the box” thinking and decision to remove past “taboos” of not involving private players in the nuclear sector have given a huge impetus to the civil nuclear programme in the country. “India’s focus is to manufacture
small modular reactors
with private participation. These are very relevant to India as it has a heterogenous population located in small, densely populated pockets and factories close-by. Hence, small modular reactors of 300 MW, 16 MW and 200 MW are suitable,” Singh said.
He further informed the House that five small breeder reactors will be completed in the coming years and Rs 20,000 crore has been allocated for this. The categories are 200 MW, 55 MW and 10MW reactors.
India is also collaborating with France and the US along with the private players though the thrust is on indigenous manufacturing.
Brij Lal had posed this starred question on the nuclear mission that was announced in the budget this year. Singh described the nuclear mission as a “path-breaking decision” that has been launched with the singular aim of meeting India’s increasing energy requirement and to provide an environmentally-friendly clean source of energy. “100-gigawatt energy target will be achieved by 2047 which will meet 10% of India’s energy requirements at that time,” he said.
Live Events
Singh highlighted the “revolutionary decision” of opening up the nuclear sector to private players. “Till now, nobody had made this demand or suggestion and it was widely believed that the civil nuclear programme should work under a veil of secrecy,” he said.
India aims to become Net Zero by 2070, the minister said, adding that while earlier India was never taken seriously on the nuclear issue, it is in a leadership role today.
Congress leader Jairam Ramesh sought to know where India stands on Phase-II (Plutonium-based) reactors, when the fast breeder reactor in Kalpakkam will be commissioned, and what is the status of the advanced Phase-III thorium-based reactor that was planned? Singh clarified that 200 MW reactors need not be only small modular reactors and the technology involved determines its status. “300 MW is the cut-off laid down by international agencies. Therefore, it is easier to convert them into small modular reactors,” he said.
On the
Kalpakkam nuclear project
, the minister said, “500 MW critical testing has been done while Phase-II is under commission. The hallmark is that it is a pressurised reactor which will pave the way for the third phase that is thorium based.”
Ramesh credited former PM Jawaharlal Nehru with starting India’s nuclear programme with the help of Homi Bhabha’s “scientific vision and determination”. He said Bhabha envisaged a three-phase nuclear programme — the first based on uranium, then plutonium, followed by thorium. India has 25% of the world’s reserves of thorium but it is “a fertile, not a fissile” material. He said India had long ago mastered Phase-I with 200 MW reactors at Kalpakkam, Rawatbhata, Jaitapur and other nuclear plants.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Adani Energy acquires Mahan Transmission,https://economictimes.indiatimes.com/industry/energy/power/adani-energy-acquires-mahan-transmission/articleshow/119606735.cms,27-03-2025,"Adani Energy
Solution Ltd, the
electricity transmission
unit of the billionaire Gautam Adani-run conglomerate, on Thursday announced the acquisition of
intra-state transmission project
Mahan Transmission Ltd. In a stock exchange filing, the company said it has ""executed Share Purchase Agreement (SPA) with REC Power Development and Consultancy Limited (RECPDCL) for acquiring 100 per cent equity shares of
Mahan Transmission
Limited (MTL)"".
MTL is a Rs 2,200-crore intra-state transmission project.
The project scope includes establishment of 2,800 Mega Volt-Amperes (MVA) of substations capacity and 740 circuit kilometers (ckm) of transmission line, taking AESL's transmission network to 26,668 ckm and 89,986 MVA of transformation capacity.
The project will be delivered by April 2027.
The project, housed under Special Purpose Vehicle (SPV) Mahan Transmission Ltd, will evacuate 1,230 MW of power from
Adani Power
's upcoming 1,600 MW expansion unit at Mahan in Madhya Pradesh's Singrauli district and feed into the state grid. The project is expected to aid MP's industrialisation push by ensuring reliable and efficient transmission of electricity.
Live Events
AESL won the project under the Tariff Based Competitive Bidding (TBCB) mechanism, and REC Power Development and Consultancy Ltd (RECPDCL) was the bid process coordinator.
This is AESL's seventh order win this fiscal year, taking its transmission order book to Rs 59,761 crore.
""This acquisition is proposed to further AESL's strategy for enhancing value for its shareholders through organic as well as inorganic opportunities,"" the filing said. ""MTL will evacuate 1,230 MW of power from Adani Power's upcoming 1,600 MW expansion units at Mahan in Singrauli district and feed into the state grid.""
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Installed nuclear energy capacity to reach 13 GW by 2029-30: Minister Jitendra Singh,https://economictimes.indiatimes.com/industry/energy/power/installed-nuclear-energy-capacity-to-reach-13-gw-by-2029-30-minister-jitendra-singh/articleshow/119594293.cms,27-03-2025,"The government on Thursday informed the Rajya Sabha that the installed capacity of nuclear energy in the country will reach 13 GW by 2029-30 from present 8.18 GW, and it will further enhance to 22.5 GW once all sanctioned projects are completed by 2032. This was informed by Minister of State of Prime Minister's Office
Jitendra Singh
in the House during the Question Hour.
""In this Budget a nuclear mission has been announced...I'm sure in the times to come, the history would record that this has been one of the most path breaking decisions in the history of independent India. And if one was asked to define in a single sentence, the hallmark of this decision...is the true vindication of Homi Bhabha's dream,"" the minister said while replying queries of the members.
About private players' participation in the nuclear sector, Singh said an important component of the nuclear mission is that India will go in with the public-private participation, in a big way, in the manufacturing of
small modular reactors
, which are particularly relevant to a country like India.
According to Singh, allowing private participation into nuclear sector is expected to gear up a rapid scale-up of nuclear capacity, for which legislative changes are being pursed to facilitate an active participation and partnership of public and private sector in nuclear.
He further said that nuclear energy is expected to cater to a host of end-uses beyond base-load electricity supply to national grid, like captive power and process heat to industry, electricity and/or fresh water (through sea water nuclear desalination) in isolated grids, and clean hydrogen for hard-to-abate sectors.
Live Events
Beyond 2030, Singh said, there are two national goals for the country - 'Energy Independence by 2047' and 'Net Zero by 2070'.
The optimum energy mix for the future needs to leverage all available energy sources to ensure quality and reliable electricity for nation's energy security at a minimum cost to the consumer.
Nuclear as complimentary source to renewable energy has multiple advantages, which adds to grid stability, balancing and reducing the need for energy storage system, which in turn helps in reducing the need for critical minerals required for battery, he said.
The Union Budget 2025-26 outlines a significant push towards nuclear energy as part of India's long-term energy transition strategy. The government has set an ambitious target of 100 GW nuclear power capacity by 2047, positioning nuclear energy as a major pillar in India's energy mix.
Recognising nuclear power as a critical component for achieving energy security and sustainability, the government has introduced the
Nuclear Energy Mission
for Viksit Bharat.
The minister informed that a key highlight of the Union Budget 2025-26 is the launch of a Nuclear Energy Mission, which is focused on research and development (R&D) of Small Modular Reactors (SMRs). The government has allocated Rs 20,000 crore for this initiative.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"Adani starts getting regular payments from Bangladesh, restores power supply",https://economictimes.indiatimes.com/industry/energy/power/adani-starts-getting-regular-payments-from-bangladesh-restores-power-supply/articleshow/119582766.cms,27-03-2025,"Bangladesh said
Indian billionaire
Gautam
Adani
’s power generation unit resumed full electricity supply to the nation, four months after halving the feed over unpaid dues.
“We’re making regular payments to Adani and receiving power as per our requirements,” Rezaul Karim, chairman of
Bangladesh Power Development Board
, said on Thursday. He didn’t specify the quantum of payments and whether past arrears have been cleared.
Data from BPDB shows Adani increased power supply more than two weeks ago.
Adani Power Ltd.
had halved supply from its 1,600 megawatt coal-fired plant in India’s Jharkhand state in November after a series of missed payments by Dhaka, which was battling a foreign exchange crisis amid a turbulent change of regime. Restoration of supply will help Bangladesh avoid blackouts in the sweltering summer months when temperatures can reach 38C (100.4F) or more.
Shares of the company extended gains after the report, climbing as much as 2% in Mumbai. The stock has declined nearly 5% so far this year.
Live Events
The dues, which had at one point crossed $850 million, now stands at $800 million and the same would be cleared in next six months, people familiar with the matter said. The BPDB had also provided guarantees to reassure Adani’s lenders to ease the company’s working capital crunch, they said, requesting not to be named as the information is private.
A representative of the
Adani Group
did not immediately respond to a request for comments.
The restoration of power is a step to help repair business ties between the two nations.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Imported coal-based units could be allowed peak generation beyond April 30,https://economictimes.indiatimes.com/industry/energy/power/imported-coal-based-units-could-be-allowed-peak-generation-beyond-april-30/articleshow/119554378.cms,27-03-2025,"The power ministry has drawn up a multi-pronged strategy to ensure sufficient electricity supply this summer season when the peak demand is expected to reach a new high of 270 gigawatts (GW), people familiar with the matter said.
The ministry has put in place standard measures to maximise generation capacity, like ensure sufficient availability of coal, maximising hydropower, reducing the number of planned maintenance during the season, and optimising imported coal-based plants.
If required, the mandate for imported coal-based power plants to operate at maximum capacity under Section 11 of the Electricity Act may be extended beyond April 30, a senior government official told ET.
A similar mandate to ensure maximum generation capacity could be extended to gas-based power plants for a certain period to deal with under extreme peak demand scenarios, officials said. The government expects peak power demand this summer to go beyond last year's record 250 GW recorded in May as the
India Meteorological Department
(IMD) has projected the March to May hot weather season to have above-normal maximum temperatures over most parts of the country.
Live Events
In case the IMD revises or updates its projections for the summer, the ministry may take a relook at the peak demand expectations, the official said.
The current peak demand is hovering around 226 GW in solar hours.
Capacity availability
India's installed generation capacity of all sources as of February end was 470.5 GW. The country has added 28 GW power capacity so far this financial year. More capacity in thermal power as well as renewables is expected to be added in the next two months, increasing the support to capacity availability.
A major issue in meeting peak demand is in the non-solar hours when a large capacity, now standing at more than 100 GW, is not available.
The gap is met by other sources like hydropower and thermal power, with the latter bearing the major load.
Until storage is added in the system, base load will be needed in peak hours, said one of the officials cited above.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"Delhi HC upholds ruling on NTPC's Rs 1,891 crore dispute with Jindal ITF",https://economictimes.indiatimes.com/industry/energy/power/delhi-hc-upholds-ruling-on-ntpcs-rs-1891-crore-dispute-with-jindal-itf/articleshow/119544344.cms,26-03-2025,"The division bench of the
Delhi High Court
on Wednesday refused to stay a single-judge order that set aside a 2019
arbitral award
that asked
NTPC
Ltd to pay damages of Rs 1,891 crore to
Jindal ITF
(JITF), the infrastructure arm of Jindal Saw, for alleged wrongful termination of an agreement for transportation of coal to the state-run company’s Farakka thermal power plant in West Bengal.
The Division Bench led by Justice C Hari Shankar while issuing notice to
NTPC
and others also refused to restrain the PSU from invoking the
bank guarantees
furnished by JITF. “We are aware that this order (single judge’s) needs consideration. It’s not possible to restrain invocation of bank guarantee. However, invocation of BG shall remain subject to the final disposal of this appeal,’ the bench said, while posting the matter for final hearing on April 17.
While Solicitor General Tushar Mehta appeared for NTPC, senior counsel Sandeep Sethi and Amit Sibal represented JITF.
JITF had challenged Justice Dinesh Sharma’s January’s judgment that held that the arbitration award suffered from “patent illegality and is violative of public policy and shocks the conscience of the court. Since the award is so perverse, it has to go in totality.”
Sibal argued that the company “will be out of pocket and will have no money for the development work,” thus NTPC should be restrained from invoking BGs.
Live Events
JITF was selected as the preferred bidder and operator for the transportation of coal for the Farakka plant and a tripartite agreement was entered into between NTPC, JITF and Inland Waterways Authority of India for moving coal through National Waterways-I. The agreement also included the construction of the unloading infrastructure and the material handling system by JITF. As per the
coal transportation agreement
, NTPC was to procure the coal from imported coal suppliers and transport the same through the waterways to JITF, which in turn was to unload and transport it to NTPC's plant at not less than 12,000 tonnes per day
However, a dispute arose between the parties, and it was referred to arbitration in 2017.
The arbitral tribunal in January 2019 awarded total damages of Rs 1,891 crore plus taxes to JITF. The award was challenged by NTPC before the single judge bench on various grounds, including gross violation of the Contract Act and citing that a liability of Rs 417 crore was fastened despite the existence of a ‘no damages clause’.
While claiming damages from NTPC for alleged wrongful termination of the tripartite agreement, JITF said the PSU was responsible for the delay of construction of phases I and II of the material handling system, and accordingly, it was entitled to claim damages for loss of revenue. The tribunal had rejected its counterclaims, virtually re-written the terms of the contract and awarded damages to JITF from the wrong date, NTPC argued.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"India must brace for 9-10% power demand surge in 2025 amid rising temperatures, warn experts",https://economictimes.indiatimes.com/industry/energy/power/india-must-brace-for-9-10-power-demand-surge-in-2025-amid-rising-temperatures-warn-experts/articleshow/119477763.cms,25-03-2025,"India should prepare for a nine to 10 per cent growth in peak electricity demand this summer with the country expected to experience more heatwaves, experts have warned. Last year, the all-India peak electricity demand crossed 250 gigawatts (GW) on May 30, which was 6.3 per cent higher than projections. Climate change-induced heat stress is one of the key factors driving electricity demand.
Currently, industries, households and agriculture account for 33 per cent, 28 per cent and 19 per cent of India's total electricity consumption, respectively. Household electricity demand has grown the fastest over the past decade, according to Disha Agarwal, Senior Programme Lead - Renewables at the Delhi-based think tank Council on Energy, Environment and Water.
The share of household electricity consumption increased from 22 per cent in 2012-13 to 25 per cent in 2022-23. Much of this rise can be attributed to economic growth and the increasing need for cooling due to rising temperatures, experts say.
In the summer of 2024, room air conditioner sales surged by 40 to 50 per cent year-on-year amid record-breaking temperatures, Agarwal said.
""India must now brace for extended heatwaves and a peak
electricity demand growth
of 9-10 per cent. However, our analysis shows that this peak demand will only last for a short period,"" she added.
Live Events
Agarwal said India's electricity consumption has been growing at about 9 per cent annually since 2020-21, compared to 5 per cent per year in the previous decade. The Central Electricity Authority (CEA) had estimated that electricity demand would grow at a rate of 6 per cent per year from 2022 to 2030.
At the ""Global Heat and Cooling Forum"", organised by the Natural Resources Defense Council last week, experts raised concerns about the increasing demand for air conditioning as summer temperatures continue to rise.
Abhas Jha, Practice Manager, Infrastructure Resilience Policy and Finance for South Asia at the World Bank, said that under a moderate emissions scenario, the number of
heatwaves in India
is expected to triple.
""India is set to become the largest market for air conditioners globally. Every 15 seconds, an air conditioner is sold in India. AC penetration in the country is currently around 8 per cent compared to 90 per cent in developed nations,"" he said.
""AC penetration in India is going to increase. The problem is that most of these air conditioners are highly energy-inefficient -- three-star or unstarred, or unbranded ACs that consume a lot of energy. And if we continue on this trajectory, forget 1.5 degrees Celsius, even 2 degrees Celsius is off the table,"" Jha said.
A few years ago, the International Energy Agency projected that energy demand from air conditioners would triple by 2050, equivalent to adding 10 new air conditioners every second for the next 30 years.
""In spite of that rise, two to five billion people will still lack access to air conditioners in 2050,"" said Radhika Khosla, Research Director of the Oxford India Centre for Sustainable Development at the University of Oxford.
She said ongoing research has shown that in a world two degrees Celsius warmer than pre-industrial times, the largest cooling demand, in terms of total population, will come from India, followed by China, Nigeria, Indonesia, Pakistan, Bangladesh, Brazil, the Philippines, and the US.
Khosla said achieving thermal comfort for everyone without harming the planet is possible.
This will require a strong focus on passive cooling methods, energy efficiency and phasing out harmful refrigerant gases. These measures can reduce cooling-related emissions by 66 per cent, with the remaining reductions coming from decarbonizing the electricity grid, she said.
The Oxford researcher added that thermal comfort is not just about temperature. It also involves humidity, ventilation, radiant temperature, and clothing insulation. ""Solutions go beyond just switching on one technology,"" she said.
India experienced an exceptionally harsh summer last year, recording 536 heatwave days, the highest in 14 years, according to the India Meteorological Department (IMD).
Official data showed that during one of the hottest and longest heat waves, India recorded 41,789 suspected heat stroke cases and 143 heat-related deaths.
This year, the heatwave arrived much earlier than last year. In 2024, Odisha saw its first heatwave on April 5, but in 2025, parts of Konkan and Coastal Karnataka experienced heatwaves as early as February 27-28.
The IMD has forecast above-normal maximum and minimum temperatures across most parts of the country during the summer season which extends from March to May.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"Kalpataru Projects bags orders worth Rs 2,366 cr",https://economictimes.indiatimes.com/industry/energy/power/kalpataru-projects-bags-orders-worth-rs-2366-cr/articleshow/119467483.cms,25-03-2025,"New Delhi:
Kalpataru Projects International Limited
(KPIL) on Tuesday said it has secured orders worth Rs 2,366 crore in the domestic and international markets. Its Transmission and Distribution (T&D) business has received orders in India and overseas markets, while the
Buildings and Factories
(B&F) business has bagged orders in the domestic market.
KPIL, along with its
international subsidiaries
, have secured notification of awards/comfort letters of approximately Rs 2,366 crore, the company said.
""With these new orders, our order intake till date in FY25 has reached Rs 24,850 crore, providing good visibility for improved execution and growth going forward,"" its MD & CEO Manish Mohnot said.
The T&D order book continues to grow on the back of rising power demand, rapid expansion of renewable energy and focus on improvement of T&D infrastructure, he said.
The orders in the B&F business are repeat orders from an existing client, the official added.
Live Events
KPIL is one of the largest specialised EPC (Engineering, Procurement, and Construction) companies engaged in Power Transmission & Distribution, Buildings & Factories, Water Supply & Irrigation, Railways, Oil & Gas Pipelines, Urban Mobility (Flyovers & Metro Rail), Highways and
Airports
.
It is currently executing projects in over 30 countries and has a footprint in 75 countries.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"India must brace for 9-10% power demand surge in 2025 amid rising temperatures, warn experts",https://economictimes.indiatimes.com/industry/energy/power/india-must-brace-for-9-10-power-demand-surge-in-2025-amid-rising-temperatures-warn-experts/articleshow/119458383.cms,25-03-2025,"India should prepare for a nine to 10 per cent growth in peak electricity demand this summer with the country expected to experience more heatwaves, experts have warned. Last year, the all-India peak electricity demand crossed 250 gigawatts (GW) on May 30, which was 6.3 per cent higher than projections. Climate change-induced heat stress is one of the key factors driving electricity demand.
Currently, industries, households and agriculture account for 33 per cent, 28 per cent and 19 per cent of India's total electricity consumption, respectively. Household electricity demand has grown the fastest over the past decade, according to Disha Agarwal, Senior Programme Lead - Renewables at the Delhi-based think tank Council on Energy, Environment and Water.
The share of household electricity consumption increased from 22 per cent in 2012-13 to 25 per cent in 2022-23. Much of this rise can be attributed to economic growth and the increasing need for cooling due to rising temperatures, experts say.
In the summer of 2024, room air conditioner sales surged by 40 to 50 per cent year-on-year amid record-breaking temperatures, Agarwal said.
""India must now brace for extended heatwaves and a peak
electricity demand growth
of 9-10 per cent. However, our analysis shows that this peak demand will only last for a short period,"" she added.
Live Events
Agarwal said India's electricity consumption has been growing at about 9 per cent annually since 2020-21, compared to 5 per cent per year in the previous decade. The Central Electricity Authority (CEA) had estimated that electricity demand would grow at a rate of 6 per cent per year from 2022 to 2030.
At the ""Global Heat and Cooling Forum"", organised by the Natural Resources Defense Council last week, experts raised concerns about the increasing demand for air conditioning as summer temperatures continue to rise.
Abhas Jha, Practice Manager, Infrastructure Resilience Policy and Finance for South Asia at the World Bank, said that under a moderate emissions scenario, the number of heatwaves in India is expected to triple.
""India is set to become the largest market for air conditioners globally. Every 15 seconds, an air conditioner is sold in India. AC penetration in the country is currently around 8 per cent compared to 90 per cent in developed nations,"" he said.
""AC penetration in India is going to increase. The problem is that most of these air conditioners are highly energy-inefficient -- three-star or unstarred, or unbranded ACs that consume a lot of energy. And if we continue on this trajectory, forget 1.5 degrees Celsius, even 2 degrees Celsius is off the table,"" Jha said.
A few years ago, the International Energy Agency projected that energy demand from air conditioners would triple by 2050, equivalent to adding 10 new air conditioners every second for the next 30 years.
""In spite of that rise, two to five billion people will still lack access to air conditioners in 2050,"" said Rishika Khosla, Research Director of the Oxford India Centre for Sustainable Development at the University of Oxford.
She said ongoing research has shown that in a world two degrees Celsius warmer than pre-industrial times, the largest cooling demand, in terms of total population, will come from India, followed by China, Nigeria, Indonesia, Pakistan, Bangladesh, Brazil, the Philippines, and the US.
Khosla said achieving thermal comfort for everyone without harming the planet is possible.
This will require a strong focus on passive cooling methods, energy efficiency and phasing out harmful refrigerant gases. These measures can reduce cooling-related emissions by 66 per cent, with the remaining reductions coming from decarbonizing the electricity grid, she said.
The Oxford researcher added that thermal comfort is not just about temperature. It also involves humidity, ventilation, radiant temperature, and clothing insulation. ""Solutions go beyond just switching on one technology,"" she said.
India experienced an exceptionally harsh summer last year, recording 536 heatwave days, the highest in 14 years, according to the India Meteorological Department (IMD).
Official data showed that during one of the hottest and longest heat waves, India recorded 41,789 suspected heat stroke cases and 143 heat-related deaths.
This year, the heatwave arrived much earlier than last year. In 2024, Odisha saw its first heatwave on April 5, but in 2025, parts of Konkan and Coastal Karnataka experienced heatwaves as early as February 27-28.
The IMD has forecast above-normal maximum and minimum temperatures across most parts of the country during the summer season which extends from March to May.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
