headline,link,date,content,sector
Planetcast named technology partner by beIN Asia Pacific,https://economictimes.indiatimes.com/industry/media/entertainment/media/planetcast-named-technology-partner-by-bein-asia-pacific/articleshow/119755418.cms,30-03-2025,"Planetcast
, a leading provider of
broadcast technology
and
media services
, has announced that it has been selected by
beIN Asia Pacific
as its strategic technology partner to enhance the management and delivery of programming for 14 HD
sports
channels across Southeast Asia and Australia.
By utilising Planetcast’s NexC suite of cloud-first products and services, this collaboration will enable beIN to optimise content preparation, processing, distribution, and monetisation, supporting business growth across the Asia Pacific (APAC) region.
Planetcast Media Services’ support for beIN’s live sports content management and delivery is based on two key NexC modules:
Cloud.X Turbo
, an agile, high-performance sports playout solution optimised for multiplatform distribution with ultra-low latency, and Recaster, the managed
IP delivery solution
that uses public internet to deliver broadcast-quality video streams globally.
In addition to playout and IP-based content delivery, Planetcast will provide a comprehensive range of other services tailored to beIN’s dynamic needs across broadcast, over-the-top (OTT), and free ad-supported streaming TV (FAST) services – including media management, onboarding, and disaster recovery. This partnership will enable beIN to continue delivering world-class sports programming to millions of fans while optimising efficiencies and ensuring scalability.
Headquartered in Singapore and part of
beIN Media Group
, beIN Asia Pacific is a leading multi-platform media company committed to delivering premium sports content under the globally recognised beIN SPORTS brand, including its beIN SPORTS CONNECT streaming platform.
Live Events
Operating in 12 countries across APAC – including Australia, New Zealand, Singapore, Malaysia, Indonesia, Thailand, Hong Kong, and the Philippines – beIN Asia Pacific combines live event coverage with in-depth analysis, exclusive programming, and innovative digital experiences.
The company holds broadcast rights to major sports events such as Formula 1, the UEFA Champions League, Spain’s LaLiga, Bundesliga, EFL, Roland-Garros (home of the French Open), and the Australian Open.
“beIN SPORTS is a leader in live sports media innovation, and this partnership with Planetcast reinforces our commitment to delivering exceptional viewing experiences,” said Sabil Salim, Vice President, Media Technology & Operations, beIN Asia Pacific. “Planetcast’s proven expertise in managing major sports like the Indian Premier League (IPL), its leading-edge Cloud.X Turbo solution, and its robust NexC cloud platform provide the scalability, reliability, and seamless integration we need to elevate sports broadcasting across the region.”
“Our partnership with beIN Asia Pacific represents a strategic step forward in Planetcast’s mission to enable global media brands to grow and innovate,” said Sanjay Duda, CEO of Planetcast. “By leveraging Cloud.X Turbo, Recaster, and other services available through our
NexC platform
, beIN will gain a competitive edge, delivering exceptional content experiences while navigating the challenges of an ever-evolving broadcast landscape.”
Cloud.X Turbo and Recaster are key components of Planetcast’s NexC platform, which empowers media companies to address the complexities of content management and distribution. NexC streamlines these processes through its unified, cloud-driven architecture.
The platform integrates core functionalities such as post-production, cloud playout, IP contribution, and OTT and FAST distribution into a single-window solution. Designed for flexibility and scalability, NexC enables clients to meet the growing demand for multi-platform content while achieving greater efficiencies.
Planetcast will showcase its NexC platform, including Cloud.X Turbo and Recaster, at NAB Show 2025 in Las Vegas from 5-9 April (Booth #W3657), and will also unveil its latest advancements in AI-powered content automation, cloud-native media workflows, and other broadcasting services and technologies.
(You can now subscribe to our
Economic Times WhatsApp channel
)",media
Reliance-backed GTPL Hathway signs agreement with MIB to operate HITS platform,https://economictimes.indiatimes.com/industry/media/entertainment/media/reliance-backed-gtpl-hathway-signs-agreement-with-mib-to-operate-hits-platform/articleshow/119703535.cms,29-03-2025,"Reliance Industries-backed
GTPL Hathway
signed a grant of permission agreement (GOPA) with the information and broadcasting ministry to establish, maintain, and operate a headend-in-the-sky (HITS) broadcasting platform in Ahmedabad for 10 years.
The company made the disclosure in a regulatory filing.
On July 12, 2024, the company had announced that it had received the ministry’s approval to provide HITS service, subject to compliance with the relevant guidelines.
GTPL Hathway, only the second company to receive a HITS licence after the
Hinduja Group
, plans to invest Rs 100 crore in the project.
The company aims to acquire customers in cable-dark areas, particularly in north India, through HITS, a satellite-based platform that combines the features of
cable TV
and DTH.
Live Events
The HITS service, set to launch in the April-June quarter, is expected to support up to 900 TV channels. The company, which currently provides cable TV and
broadband services
, plans to lease 12 Telkomsat C-band transponders for HITS and set up an advanced uplinking facility in Ahmedabad.
GTPL
Hathway
invested Rs 265 crore of its Rs 350 crore annual capital expenditure in its cable TV and broadband businesses during the first nine months of this financial year. Of this, Rs 160 crore went into cable TV, while Rs 95 crore was allocated to broadband.
With 8.9 million paying cable TV subscribers and more than one million broadband customers,
GTPL Hathway
is India's largest cable TV company.
During the company’s third-quarter earnings call on January 10, chief strategy officer Piyush Pankaj stated that 80% of the HITS project’s capital expenditure had been completed.
(You can now subscribe to our
Economic Times WhatsApp channel
)",media
"Digital media overtakes TV in 2024, contributes 32 pc to overall revenue: FICCI-EY report",https://economictimes.indiatimes.com/industry/media/entertainment/media/digital-media-overtakes-tv-in-2024-contributes-32-pc-to-overall-revenue-ficci-ey-report/articleshow/119607470.cms,27-03-2025,"Digital media in India has overtaken traditional television in 2024, becoming the largest segment in the media & entertainment (M&E) sector, contributing an unprecedented 32 per cent to the overall revenues, according to the latest
FICCI-EY report
. Moreover, digital media is expected to be the first M&E segment to cross Rs 1 trillion in ad revenues in 2026, it said.
The Indian M&E sector is expected to grow at over 7 per cent in the next three years to cross Rs 3 lakh crore, it added.
The Indian Media and Entertainment (M&E) sector in 2024 reached a total valuation of Rs 2.5 lakh crore (USD 29.4 billion) and contributed 0.73 per cent to India's GDP in 2024.
""Looking ahead, the Indian M&E sector is expected to grow by 7.2 per cent in 2025, reaching Rs 2.7 trillion (USD 31.6 billion), and then expand at a Compound Annual Growth Rate (CAGR) of 7 per cent to reach Rs 3.1 trillion (USD 36.1 billion) by 2027,"" it said.
This growth trajectory is poised to be shaped by innovative business models, strategic alliances, and industry consolidation, as per the report titled, ""Shape the future: Indian media and entertainment is scripting a new story"".
Live Events
In 2024, India M&E sector had a growth of Rs 8,100 crore from the previous year, marking a 3.3 per cent increase.
However, in actual, ""Growth slowed down from 8.3 per cent in 2023, due to falling subscription revenues, and a global decline in Animation and VFX work outsourced to India,"" the report said.
Moreover, advertising revenues have also seen an impressive growth of 8.1 per cent.
This is predominantly led by performance advertising on digital platforms, including e-commerce websites, and a surge in demand for premium and digital out-of-home (OOH) media.
""This growth has been further bolstered by the resilience of print and radio retail advertising revenues. Digital media (17 per cent), live events (15 per cent), and OOH media (10 per cent) have been key drivers of growth,"" it added.
Commenting on the report, Chairman, FICCI, Media and Entertainment Committee Kevin Vaz, said, ""The
Indian media and entertainment industry
is at a defining moment, driven by rapid digital adoption and evolving consumer preferences. This transformation is unlocking immense opportunities for content creators, advertisers, and technology innovators across all segments of the M&E ecosystem.""
(You can now subscribe to our
Economic Times WhatsApp channel
)",media
"Indian TV & digital media set to soar while your cheers for Dhoni & Kohli in IPL grow louder, Vaz says",https://economictimes.indiatimes.com/industry/media/entertainment/media/indian-tv-digital-media-set-to-soar-while-your-cheers-for-dhoni-kohli-in-ipl-grow-louder-vaz-says/articleshow/119587275.cms,27-03-2025,"India’s media and entertainment industry had a remarkable breakthrough in 2024, making significant strides on the global stage, said Kevin Vaz, Chairman of FICCI’s Media and Entertainment Committee and CEO.
With recognition at prestigious platforms like Cannes and the Oscars, coupled with its growing status as a VFX powerhouse and IPL fever, India is now firmly positioned as a key player in the international media landscape.
According to Vaz, this growth is not just a matter of numbers; it's about the unique way India is developing its media ecosystem.
He noted that unlike many other markets, India has managed to thrive in an ""and"" environment, where both television and digital media grow side by side.
“What sets India apart is not just our growth, but the way we grow. We are not an ""OR"" market but an ""AND"" market—television and digital media are thriving together,” he said.
Live Events
Television remains evergreen
Meanwhile, he also pointed out that television remains a dominant force, with household reach projected to grow from 190 million in 2024 to 214 million by 2026.
At the same time, digital platforms continue to soar, offering exciting opportunities for content creators and consumers alike. This balanced growth has set the country up for a dynamic media ecosystem that serves a wide array of audiences.
Vaz further said that one of the key drivers of this media revolution is sports, particularly the Indian Premier League (IPL), which has become a major force in content consumption.
IPL cheers grow louder
The IPL has become a massive force, with its ever-growing popularity reaching new heights in 2024. For the first time in IPL history, the tournament set a record in its first three games. According to Broadcast Audience Research Council data for Male 15+ AB Urban, IPL 2025 achieved a remarkable 7.5 Television Rating (TVR), marking a 39% increase from the previous year.
Additionally, the T20 tournament's reach expanded by 14%, hitting 253 million viewers, while watch-time minutes skyrocketed by 22%, reaching an impressive 2,770 crore minutes.
This explosive growth in viewership showcases the IPL's growing influence, reinforcing its position as one of the biggest entertainment drivers in the Indian media landscape.
“Sports, especially the IPL, continues to drive content consumption, demonstrating the power of both TV and digital, reaching 525 million viewers on TV and 550-600 million on streaming platforms,” Vaz added.
This reflects the true power of both TV and digital media, demonstrating the expanding reach of sports in India’s media landscape and highlighting the growing influence of both platforms in a rapidly evolving entertainment ecosystem.
Looking ahead, India is on track to become the third-largest media and entertainment market by 2028, reflecting the immense content being produced and consumed in the country, according to Vaz.
(You can now subscribe to our
Economic Times WhatsApp channel
)",media
JioHotstar crosses 100 million paid subscribers,https://economictimes.indiatimes.com/industry/media/entertainment/media/jiohotstar-crosses-100-million-paid-subscribers/articleshow/119585169.cms,27-03-2025,"JioStar-owned streaming platform
JioHotstar
has nearly doubled its paid subscriber base to over 100 million in under two months since its February 14 launch, following the merger of Disney+ Hotstar and JioCinema.
The subscriber base includes both direct subscribers and those acquired through telco bundle deals. At launch, JioHotstar had 50 million paid subscribers, in addition to 500 million users.
Last year, Reliance Industries chairman Mukesh Ambani highlighted that JioCinema achieved the fastest growth in its category, surpassing 15 million paying subscribers in just 100 days.
Commenting on the milestone, Kiran Mani, CEO – Digital, JioHotstar, said, “We have always believed that world-class entertainment should be accessible to all, and crossing 100 million subscribers is a testament to that vision. This milestone underscores India's limitless potential and strengthens our commitment to pioneering category-first experiences at an unprecedented scale. As we continue to innovate and expand, our focus remains on shaping the future of streaming, driving accessibility, and unlocking infinite possibilities for a billion screens.”
JioStar, the newly formed joint venture from the Viacom18-Star India merger, launched JioHotstar on February 14, bringing together JioCinema and Disney+ Hotstar. The platform offers 3 lakh hours of entertainment, spanning movies, TV shows, and Hollywood content.
Live Events
Catering to 1.4 billion Indians in 10 languages, JioHotstar boasts a vast content library featuring Hollywood giants like Disney, HBO, and Paramount. It also includes ‘Sparks,’ a section highlighting top digital creators.
JioHotstar is a major sports hub, streaming the IPL, ICC events, the Premier League, and more, with advanced features like 4K streaming, AI insights, and multi-angle viewing for an immersive experience.
Competing with Netflix and Prime Video, JioHotstar has recently signed telecom bundling deals with Reliance Jio, Airtel, and Vi.
According to an FICCI-EY report, video OTT is projected to grow from 47 million households in 2024 to 65 million by 2027, with 144 million subscriptions, averaging approximately 2.2 subscriptions per household.
The report also noted that ISPs and telcos will increasingly bundle multiple OTT platforms, playing a role similar to DPOs in television. However, consumers must be given the choice to customise their OTT bundles.
It further stated that JioHotstar is likely to become the dominant “first subscription pack,” significantly contributing to market growth due to its extensive film library and premium sports content. Much will depend on its pricing strategy around the IPL.
Reliance Industries and Disney, the JV partners in the $8.5 billion JioStar, valued Disney+ Hotstar and JioCinema higher than their linear TV business during the valuation exercise prior to the merger, which concluded on November 13.
(You can now subscribe to our
Economic Times WhatsApp channel
)",media
Indian M&E industry grew 3.3% to reach Rs 2.5 lakh crore revenue in 2024: FICCI-EY report,https://economictimes.indiatimes.com/industry/media/entertainment/media/indian-me-industry-grew-3-3-to-reach-rs-2-5-lakh-crore-revenue-in-2024-ficci-ey-report/articleshow/119583017.cms,27-03-2025,"India's Media & Entertainment (M&E) sector reached a total size of
INR
2,50,000 crore in 2024, marking a 3.3% growth from the previous year.
Digital
media overtook television as the largest segment, growing 17% to INR 80,200 crore, contributing 32% of total M&E revenues.
According to the latest FICCI-EY report, Shape the Future: Indian Media and Entertainment is Scripting a New Story, the sector’s growth slowed from 8.3% in 2023 due to a decline in subscription revenues and reduced global demand for Animation and
VFX
outsourcing. In 2024, the industry contributed 0.73% to India's GDP.
Advertising revenues increased by 8.1%, led by performance-based digital advertising, a surge in e-commerce ad spending, and rising demand for premium and digital Out-of-Home (
OOH
) media. Print and radio retail advertising remained resilient, while live events grew by 15%, crossing the INR 10,000 crore mark for the first time. However, subscription revenues fell by 2% across television, print, film, and online gaming.
Kevin Vaz, Chairman of the
FICCI
Media & Entertainment Committee, said, ""The Indian media and entertainment industry is at a defining moment, driven by rapid digital adoption and evolving consumer preferences. This transformation is unlocking immense opportunities for content creators, advertisers, and technology innovators. With India’s media and entertainment market expected to surpass INR 3,00,000 crore by 2027, the future is brimming with untapped potential. FICCI remains committed to fostering collaboration and innovation to ensure that India’s M&E sector continues to thrive as a global powerhouse.""
Ashish Pherwani, Partner and Media & Entertainment Leader at
EY
India, said, ""The digital revolution has not only transformed how content is created and consumed but has also redefined the very essence of the M&E industry. From immersive storytelling and interactive experiences to innovative business models and strategic alliances, the landscape is continually reshaping itself. As digital media overtakes traditional mediums, we are witnessing a paradigm shift, where the value delivered across information, escapism, materialism, and self-actualisation becomes the new benchmark for success.""
Live Events
Jyoti Vij, Director General of FICCI, said, ""The FICCI-EY report reaffirms the resilience and dynamism of India’s Media & Entertainment sector, which continues to thrive despite global economic headwinds. The 8.1% rise in advertising revenues and the exponential growth of digital media underscore India’s leadership in content creation and consumption. As the industry undergoes rapid transformation, FICCI remains steadfast in driving policy reforms, fostering strategic collaborations, and shaping a future-ready ecosystem that not only fuels sustainable growth but also strengthens India’s global influence in the M&E landscape.""
The report highlights several key trends within the industry. Digital advertising grew 17% to INR 70,000 crore, accounting for 55% of total advertising revenues. This growth was led by short-form video, social media advertising, and a 50% increase in e-commerce advertising, which reached INR 14,700 crore. Spends by SMEs and long-tail advertisers contributed INR 25,800 crore to digital advertising.
The digital subscription market grew by 15% to INR 10,200 crore, with paid video subscriptions reaching 111 million across 47 million households. Paid music subscriptions increased from 7 million to 10.5 million, while news subscriptions remained at 3.1 million.
Live events saw a 15% rise in revenues, supported by increased spending on government and election-related events, personal celebrations, and ticketed concerts featuring international acts.
Out-of-Home (OOH) media expanded by 10%, with premium properties and locations driving growth. Digital OOH surged by 78%, increasing its share of total segment revenues from 7% in 2023 to 12% in 2024.
Radio revenues grew by 9% to INR 2,500 crore, bolstered by an increase in advertising volumes and alternative revenue streams. Around 20% of radio revenues now come from events, content production, and other non-traditional sources.
Print advertising revenues rose by 1%, although subscription revenues declined by 1%. Digital revenues remained relatively small, accounting for less than 5% of total print revenues.
The music segment experienced a 2% revenue decline due to industry efforts to curb free music consumption and lower streaming royalty rates. However, paid subscriptions increased, reaching 10.5 million. Growth was limited by the popularity of free alternatives such as YouTube and radio.
Online gaming revenue fell by 2%, impacted by the imposition of a 28%
Goods and Services Tax
(GST) on deposits and the rise of illegal offshore platforms. Transaction-based gaming saw a 6% decline in net revenues, while casual and free-to-play gaming grew by 16%.
Despite the release of over 1,600 films in 2024, the film sector saw a 5% drop in revenues. Theatrical admissions declined, and only 11 Hindi films grossed over INR 1,000 crore, down from 17 in 2023. The value of digital and satellite rights also fell by 10%, as broadcasters and OTT platforms prioritised profitability.
Linear television revenues declined for the second consecutive year, with a 6% drop in advertising revenues and a 3% decline in subscriptions. Pay TV households decreased by six million, while
Free TV
and Connected TV households increased. Weekly active Connected TV viewers rose from 23 million in 2023 to 30 million in 2024.
The Animation and VFX sector experienced a 9% revenue decline, primarily due to the Hollywood writers' strike and financial struggles faced by international studios. Reduced advertising revenues also affected the production of animated content in India.
Looking ahead, the FICCI-EY report projects that the Indian M&E sector will grow by 7.2% in 2025, reaching INR 2,70,000 crore (US$31.6 billion), and will continue to expand at a compound annual growth rate of 7%, reaching INR 3,10,000 crore (US$36.1 billion) by 2027.
The industry is expected to focus on increasing subscription revenues, monetising content intellectual property, and consolidating within key segments. The export of Indian content and services is also set to grow, reinforcing India’s position as a global content powerhouse.
Artificial intelligence will play a crucial role in enhancing efficiencies across content production, distribution, and personalisation, while also improving operational efficiencies.
The online gaming sector may continue to struggle unless regulatory measures are introduced to curb illegal offshore platforms. Indian companies may seek to expand into foreign markets with more favourable regulatory environments.
(You can now subscribe to our
Economic Times WhatsApp channel
)",media
"Hathway, DEN launch cable channels to tap into short-video boom",https://economictimes.indiatimes.com/industry/media/entertainment/media/hathway-den-launch-cable-channels-to-tap-into-short-video-boom/articleshow/119576038.cms,27-03-2025,"Reliance Industries-owned
cable TV
providers
Hathway Digital
and
DEN Networks
have launched new channels dedicated to short-form video content, bringing the popular social media format to
television
screens.
This move comes as short-video consumption continues to surge, with platforms like Instagram Reels and YouTube Shorts dominating
digital entertainment
.
Industry experts note that cable television faces growing competition from digital platforms, which have significantly transformed viewing habits.
With Hathway Reels and DEN Reels, the companies aim to integrate
influencer-driven content
into traditional TV, creating a new space for both creators and audiences.
Hathway Reels and DEN Reels allow users to submit short videos showcasing talents such as dancing, singing, acting, and comedy.
Live Events
Selected videos will be broadcast on the channels, providing individuals with an opportunity to appear on television.
Market analysts suggest that this initiative could help cable networks engage younger audiences, who have increasingly shifted towards on-demand and social media platforms.
By featuring
user-generated content
, Hathway and DEN are testing a new content model that blends traditional broadcasting with digital trends.
Experts, however, note that short-form content thrives on social media due to personalisation and interactivity. It remains to be seen how well this format will adapt to television, which operates differently.
The success of these new channels will depend on viewer engagement and advertiser interest, according to industry experts. While digital platforms use algorithms to personalise content for users, cable TV follows a scheduled programming format.
(You can now subscribe to our
Economic Times WhatsApp channel
)",media
"Not just IPL players, TV viewership's in top form too",https://economictimes.indiatimes.com/industry/media/entertainment/media/not-just-ipl-players-tv-viewerships-in-top-form-too/articleshow/119553527.cms,27-03-2025,"The Indian Premier League (IPL) 2025 delivered its biggest-ever opening weekend on television other than the strong Covid-19 years, setting new viewership records for the first three games.
According to Broadcast Audience Research Council data for Male 15+ AB Urban,
IPL 2025
achieved a record 7.5 Television Rating (TVR), scoring a 39% rise from last year. The T20 tournament’s reach grew by 14% to 253 million, while watch-time minutes surged by 22% to 2,770 crore.
The
Chennai Super Kings
vs
Mumbai Indians
clash became the most-watched IPL match ever on TV, with a 9.2 TVR and 163 million live viewers. TVR is a mix of reach and viewer time spent.
The opening weekend attracted 137 crore views on JioHotstar. Across TV and digital, the total consumption stood at 5,000 crore minutes.
Live Events
""This opening weekend of IPL was the biggest ever in its history. It is driven by a deep commitment to delivering immersive engagement and intuitive experiences, at an unprecedented scale. Sports fan experiences are fast heading towards a hyper-personalised future, the playbook for which is being written in India,"" said Sanjog Gupta, CEO-Sports,
JioStar
, at a US-India Business Council event on Tuesday.
Experts attributed the strong viewership in this year’s edition of the IPL to JioHotstar’s shift from a fully-free model to a hybrid approach, JioStar’s extensive network, recent rise in pay-TV households, and growing penetration of sports channels.
Sports viewership has increasingly adopted a hybrid model due to the rapid rise in digital streaming, which continues to see steady growth, they added.
JioStar, which is broadcasting and streaming IPL matches across TV and digital platforms, aims to attract 1 billion viewers this year. This will mark a sharp increase from IPL 2024’s 541 million TV viewers.
LV Krishnan, CEO, TAM Media highlighted that the hybrid model for live sports has significantly boosted
TV viewership
. ""The viewership growth can also be attributed to the network power of JioStar, as IPL matches are airing across 26 channels spanning sports and entertainment,"" he said.
Krishnan noted that transitioning to a paid streaming model has had a cascading effect on pay-TV net additions. In 2023 and 2024, JioCinema offered IPL streaming free of cost to all internet users.
Beyond record-breaking viewership, the tournament has also contributed to pay-TV growth by curbing subscriber churn and driving net additions. Industry sources report a net gain of 800,000 to 1 million pay-TV subscribers due to the IPL, reinforcing the role of major sporting events in expanding the pay-TV universe.
""With cricket going behind the paywall, the churn in the pay-TV industry has halted to a large extent. IPL is expected to boost the pay-TV base since it's a two-month event,” said Manoj Dobhal, CEO,
Dish TV India
. “Broadcasters should put their premium content behind the paywall. While this move will help the industry, the broadcasters will be the biggest gainers.”
IPL 2025 is the first edition since the merger of Disney's Star India and Reliance’s Viacom18 to form JioStar. The consolidation of IPL media rights under JioStar has strengthened monetisation opportunities.
JioStar is targeting Rs 4,500 crore in ad revenues from both TV and digital, with over 30 sponsors and 1,100 advertisers on board. It also expects IPL to boost pay-TV subscriptions by 1.5 million to 2 million at the industry level and expand JioHotstar’s subscriber base from 62 million to 100 million during the tournament across direct subscriptions and telco bundled deals.
A media buyer said there is good momentum around the IPL, something which was not visible during the ICC Champions Trophy. ""IPL CTV inventory is sold out while some linear TV inventory is still left,"" he added.
(You can now subscribe to our
Economic Times WhatsApp channel
)",media
"Panel wants IT, I&B Ministries and DoT under one umbrella",https://economictimes.indiatimes.com/industry/media/entertainment/media/panel-wants-it-ib-ministries-and-dot-under-one-umbrella/articleshow/119432071.cms,24-03-2025,"The Standing Committee on Communications and Information Technology has proposed bringing the ministries of electronics and IT (MeitY), information and broadcating (MIB) and
department of telecommunications
under a single umbrella to improve coordination in addressing issues related to
technology convergence
of communication and media technologies.
The recommendation was made to the MIB as part of the parliamentary panel’s Demands for Grants report for 2025-26, which was presented in the Lok Sabha on Friday and in the Rajya Sabha on Thursday.
“If need be, the ministry (MIB) may also look into the feasibility of bringing” the MeitY, MIB and the telecom department (DoT) “under one umbrella for better coordination for issues emerging due to the convergence of technologies,” the report said.
The media industry is undergoing a significant transformation, with the widespread adoption of smartphones and affordable high-speed mobile broadband boosting
online media consumption
.
Live Events
However, the committee’s proposal is expected to face a pushback from the
broadcasting industry
, industry insiders said.
Industry bodies such as the
Indian Broadcasting and Digital Foundation
(IBDF) have previously informed the Telecom Regulatory Authority of India (Trai) during consultations that broadcasting services are fundamentally different from utility-based telecommunication services in their constitutional positioning.
While telecommunications infrastructure can justifiably be subject to licensing as a scarce public resource, “creation and dissemination of broadcasting content are exercises of fundamental rights,” IBDF had argued.
The standing committee has also urged the MIB to consider introducing a comprehensive media bill to address concerns related to broadcasting, cable TV, and over-the-top (OTT) platforms, especially since the MIB is planning to bring a new broadcast bill.
The draft Broadcasting Services (Regulation) Bill, which aims to replace the existing Cable Television Networks (Regulation) Act, 1995, will not be introduced in the current session, the MIB informed the panel.
The committee also asked the ministry to explore the feasibility of constituting a media council covering print, digital, and broadcasting under one umbrella for better coordination and law enforcement. It suggested that inputs from related ministries and organisations, including the MeitY, be sought.
The idea of a media council is not new. The Press Council of India has also supported it.
However, the MIB has previously expressed reservations, arguing that different media platforms are too unique to be governed under a single regulatory framework.
The ministry withdrew the draft broadcast bill last year due to significant criticism from stakeholders.
The bill, intended to overhaul broadcasting regulations, was placed in the public domain on November 10, 2023, for public and stakeholder feedback. It faced backlash for potentially expanding government control over online content, including social media and independent content creators.
The bill aims to streamline regulatory processes, extend its purview to OTT content and digital news, introduce contemporary definitions for emerging technologies, and strengthen self-regulation through a Broadcast Advisory Council for content oversight, besides improving existing broadcasting laws, as per the ministry.
While recommending that the MIB conduct a comprehensive review and incorporate stakeholder suggestions, the parliamentary panel stressed that the bill must be holistic, robust, and technology-proof.
It also suggested including a provision for periodic reviews and updates to keep the legislation relevant as technologies and trends evolve in the broadcasting sector.
(You can now subscribe to our
Economic Times WhatsApp channel
)",media
"Parliamentary panel calls for stricter regulations on content glorifying alcohol, drugs, violence",https://economictimes.indiatimes.com/industry/media/entertainment/media/parliamentary-panel-calls-for-stricter-regulations-on-content-glorifying-alcohol-drugs-violence/articleshow/119383768.cms,23-03-2025,"The Standing Committee on Communications and Information Technology has issued a series of recommendations to the
Ministry of Information and Broadcasting
(MIB) to strengthen regulations concerning
films and audio-visual content
that glorify alcohol, drugs, and violence.
In its
Demands for Grants
2025-26 report, the committee has expressed concerns about the impact of songs and clips that glorify alcohol, drugs, and violence on vulnerable audiences, particularly children and young adults.
In light of these concerns, the committee has recommended the formulation of a comprehensive policy framework to strengthen existing guidelines and ensure strict compliance with court directives regarding content that promotes harmful substances.
It has suggested the need for a stronger code of ethics to prevent such glorification in media, drawing inspiration from the Punjab and Haryana High Court ruling that banned a song glorifying alcohol, drugs, and violence and directed authorities to take action against the culprits.
The advisory issued by the MIB on November 26, 2024, concerning streaming content on narcotic drugs and psychotropic substances, should be periodically reviewed and updated to align with evolving content trends, the committee said.
Live Events
s
To ensure effective implementation, the committee has urged coordination with state governments and law enforcement agencies. It has also stressed the importance of
public awareness initiatives
to educate people about their rights and the mechanisms available for reporting content that violates ethical standards.
Additionally, the committee has called for engagement with stakeholders in the music, film, and entertainment industries to promote responsible content creation and discourage the glorification of alcohol, drugs, and violence.
The ministry has assured compliance with the court’s directives and has stated that the
Central Board of Film Certification
ensures such songs and content are not approved for public exhibition.
However, the committee said it is concerned that promotional clips of films and songs still reach audiences through live performances and digital platforms.
The committee also highlighted existing guidelines, which include the IT Rules, 2021, under which films or serials portraying the misuse of psychotropic substances, liquor, smoking, and tobacco are classified under a higher category.
The Cinematograph Act, 1952, prohibits the justification or glorification of alcohol and drug use in films, while the Cable Television Network Rules, 1994, prohibit the broadcast of films, songs, trailers, and music videos unless certified by the Central Board of Film Certification (CBFC) as suitable for unrestricted public exhibition.
(You can now subscribe to our
Economic Times WhatsApp channel
)",media
