headline,link,date,content,sector
Reliance Industries transfers 100% stake in projects & property arm to Reliance Retail,https://economictimes.indiatimes.com/industry/services/retail/reliance-industries-transfers-100-stake-in-projects-property-arm-to-reliance-retail/articleshow/119666039.cms,28-03-2025,"Reliance Industries
on Friday transferred its entire 100% stake in Reliance Projects &
Property Management
Services Ltd (RPPMSL) to
Reliance Retail
.
With this transfer, RPPMSL has ceased to be a wholly owned subsidiary of the Company and has become a stepdown subsidiary of the Company, RIL said in its regulatory filing to the Bombay Stock Exchange (BSE).
The transaction being between the Company and its subsidiary is a related party transaction and is on arm’s length basis, it added.
(You can now subscribe to our
Economic Times WhatsApp channel
)",retail
Indian consumer's dash from e to q: How far can it go?,https://economictimes.indiatimes.com/industry/services/retail/indian-consumers-dash-from-e-to-q-how-far-can-it-go/articleshow/119650065.cms,28-03-2025,"India's consumer's quick dash from e-commerce to q-commerce (less than 30-minute delivery) in the past few years marks a radical trend in Indian retail. Quick commerce has started eating into e-commerce. A recent report by consultancy firm Bain and e-commerce giant
Flipkart
says these platforms accounted for over two-thirds of all e-grocery orders and a tenth of overall e-retail dollars. While physical retail, especially kirana, has taken a direct hit from expanding q-commerce, it is e-commerce which is now facing the challenge from q-commerce platforms. To not lose their customers to new q-commerce platforms, two major e-commerce platforms, Amazon and Flipkart, have launched their own q-commerce ventures.
""Indian q-commerce players have bucked global trends and scaled profitably. India’s unique structural advantages, including high population density and close access to a network of low-rent dark stores, have enabled this growth. Q-commerce has since attracted multiple players, which has made the consumer value proposition richer,"" says the report. Q-commerce is projected to grow at over 40% annually through 2030, driven by expansion across categories, geographies, and customer segments. Q-commerce is projected to grow at over 40% annually through 2030, driven by expansion across categories, geographies, and customer segments.
Quick maturing of quick commerce
While q-commerce began with groceries, 15%–20% of its GMV now comes from categories such as general merchandise, mobile phones, electronics, and apparel. A few days ago,
Swiggy
Instamart, a leading q-commerce platform, said it will now deliver smartphones in 10 major cities. Q-commerce platforms have been continuously diversifying their offerings by partnering with brands and introducing products that were previously sold on ecommerce platforms. Rivals Zomato-owned
Blinkit
and
Zepto
are also offering electronics and phones, in addition to items such as fashion, accessories, beauty, and personal care products.
Blinkit CEO Albinder Dhindsa recently told ET that it will start selling air-conditioners this year. BibBasket, a Tata Digital-backed firm, is planning to introduce a range of products including air conditioners, fans and coolers. It plans to list two air-conditioner brands, three cooler brands, and six fan brands for the season.
Rising competitive intensity in q-commerce has led to companies spending heavily on performance marketing, industry executives told ET last month. While Swiggy is pushing its standalone Instamart app, Zepto has been spending to market its Cafe app on online channels such as Google and Meta suites. Over the last few months, Zomato-owned Blinkit has also stepped up on customer acquisition expenses, particularly in new geographies that it is entering. While these platforms earlier spent Rs 400-450 for acquiring a customer, that has now increased to upwards of Rs 800, an executive at a digital marketing firm had told ET.
Live Events
You Might Also Like:
India's quick commerce sector made two-thirds of all 2024 e-grocery orders: Report
Currently, the q-commerce sector employs 2.5-3 lakh outdoor delivery partners and 70,000-75,000 under-the-roof employees, which includes dark stores and warehouses, according to data by TeamLease Services. The sector, which is witnessing rapid expansion and is expected to reach $5 billion, will provide jobs to more than 5-5.5 lakh people by the next year.
""India's q-commerce sector is expanding at an unprecedented rate, with the market size projected to reach USD 5 billion by 2025, growing at a CAGR of 10-15 per cent. The surge in last-mile delivery, dark store operations, and warehouse management roles are mainly due to increasing categories of products, rise in number of cities and growth in volumes. Jobs under the roof and delivery partners will increase by 50 per cent each, taking the overall jobs in the Q-Commerce sector to over 5-5.5 lakh in next 1 year,"" TeamLease Services Senior VP and Business Head Balasubramanian A told PTI recently.
India's q-commerce industry was estimated to cross $6 billion in annual sales in 2024 from $100 million in 2020, according to Datum Intelligence.
How far can the race from e-commerce to quick-commerce go?
Q-commerce players have improved unit economics by increasing order values, lowering supply chain costs, and enhancing gross margins (via direct sourcing from producers and farmers, and deploying monetization levers such as advertising and platform fees), as per the Bain report. However, to sustain profitable growth, companies must adapt their business models for markets beyond major metros, manage rising competition, and optimize supply chains as the market evolves into a two-speed proposition—offering select products in under 15 minutes and a wider assortment within an hour.
You Might Also Like:
Mother Dairy to Amul: Brands rush to quick commerce ahead of summer heatwave
Q-commerce can face complex logistics challenges as it grows into more cities and adds bigger products such as consumer durables to its offerings. How well q-commerce platforms handle these challenges will determine their expansion into e-commerce market share.
The sector may struggle to maintain its current pace of growth as expansion beyond major cities remains limited and competition from larger e-commerce players intensifies, says a recent report by Blume Ventures. will soon see its monthly transacting user (MTU) growth tapering, much like the country's ride-share, food delivery and e-commerce sectors before, the report warned. The expanding sector will likely start to affect the local grocery ecosystem and attract regulatory measures to check its growth, the report said. Blume Ventures was one of the earliest backers of crisis-laden quick-commerce firm Dunzo, which is reportedly on the brink of shutdown after a spate of layoffs, founder exits and unpaid vendor dues.
A top Indian private equity fund's chief has said that the q-commerce frenzy, which has boosted the fortunes of Zomato and Swiggy, is not sustainable in the long run. ""These are passing fads and fantasies,""
TVS Capital
Funds Chairman Gopal Srinivasan, who manages assets worth about 50 billion rupees ($575 million), said in an interview to Reuters last month.
""The question is whether this micro trend, which (is) running completely on PE or VC funding only without the multi-decadal (economic viability) aspect, will sustain or not.""
You Might Also Like:
A fast guy is pushing into omnichannel game. What can happen?
Marquee funds such as Prosus, Tencent Holdings, Nexus Venture Partners and Info Edge are among the top shareholders in Zomato, Swiggy and peer Zepto, which own the biggest chunk of the quick commerce space. Those parking money in the sector are buying ""over-valued"" assets and hoping to sell them at a higher price, following the ""greater fool theory"" investment strategy, TVS Capital's Srinivasan said.
(With inputs from agencies)
(You can now subscribe to our
Economic Times WhatsApp channel
)",retail
"Bureau of Indian Standards seizes products from Amazon, Flipkart warehouses as crackdown intensifies",https://economictimes.indiatimes.com/industry/services/retail/bureau-of-indian-standards-seizes-products-from-amazon-flipkart-warehouses-as-crackdown-intensifies/articleshow/119590961.cms,27-03-2025,"State-run product certification agency said it raided the Delhi warehouses of e-commerce giants
Amazon
and
Flipkart
this month, seizing items that did not meet quality control standards, as it increased its scrutiny of the two firms.
Last week, the
Bureau of Indian Standards
conducted similar searches at the companies' warehouses in the southern state of Tamil Nadu, saying they stored, sold, and exhibited items that did not have a required standards label.
Amazon and Walmart-owned Flipkart have said they comply with local laws. They did not immediately respond to Reuters' requests for comment on the Delhi raids.
Both are the dominant players in India's e-commerce market which, according to estimates by consultancy firm Bain, was worth between $57 billion and $60 billion in 2023, and could top $160 billion in value by 2028.
The agency said on Thursday it has seized items including geysers and food mixers worth about 7 million rupees ($81,561) in warehouses operated by an Amazon subsidiary in Delhi.
Live Events
The seized products either lacked the standard quality control mark, or carried fake labels, the agency said.
It seized almost $7,000 worth of sports shoes from a Flipkart unit, which were ready for dispatch but did not carry necessary product certification marks.
The warehouse seizures are the latest troubles for Amazon and Flipkart in India. An antitrust investigation last September found the companies had violated local competition laws by giving preference to selected sellers on their shopping websites.
A 2021 Reuters investigation, based on internal Amazon documents, showed the company had for years given preferential treatment to small groups of sellers, and used them to bypass Indian laws. Amazon denied any wrongdoing.
(You can now subscribe to our
Economic Times WhatsApp channel
)",retail
"Direct selling industry crosses Rs 22,000 crore: Report",https://economictimes.indiatimes.com/industry/services/retail/direct-selling-industry-crosses-rs-22000-crore-report/articleshow/119549834.cms,26-03-2025,"India’s
direct selling industry
has crossed Rs 22,000 crore in sales and the number of direct sellers has increased to 88 lakh, an annual survey report for 2023-24 by the Indian Direct Selling Association (IDSA) said.
The report said the sector recorded a turnover of Rs 22,142 crore in FY 2023-24, growing 4.4 per cent year-on-year.
The survey, conducted by research firm
IPSOS
, noted that the number of women direct sellers increased from 37 per cent to 44 per cent of the total direct selling force, and that the northern region led the sector with a nearly 30 per cent share of gross sales.
According to the report, wellness products topped sales across segments, followed by cosmetics and personal care. Overall, the sector grew at a CAGR of 7.15 per cent over the past five years, it added.
Wellness and nutraceuticals accounted for 64.15 per cent of overall sector sales, while cosmetics and personal care contributed 23.75 per cent, the report said.
Live Events
The number of active direct sellers went up to 88 lakh in FY24 from 86 lakh in the previous year, the report by IDSA, an autonomous self-regulatory entity and an interface between the industry and government, noted.
Two years back, the consumer affairs ministry had modified the Consumer Protection (Direct Selling) Rules, 2021 by issuing a notification to distinguish between fraudulent pyramid and money-circulation schemes and legitimate, direct selling companies. IDSA had said at the time that the sector needs further clarity in the definition of 'network of sellers’.
(You can now subscribe to our
Economic Times WhatsApp channel
)",retail
"Regulatory environments around the world, including in India, are ""a little frustrating"", says Amway Corp's Doug DeVos",https://economictimes.indiatimes.com/industry/services/retail/regulatory-environments-around-the-world-including-in-india-are-a-little-frustrating-says-amway-corps-doug-devos/articleshow/119496168.cms,29-03-2025,"Regulatory environments around the world, including in India, are “a little frustrating” when it comes to direct selling policies, said
Doug DeVos
, global co-chairman of the Amway Board of Directors, and son of the $7.4 billion Amway Corp’s co-founder Rich DeVos.
The direct selling company, which makes Nutrilite protein powder and Glister toothpaste, sells its products to consumers primarily through its distributors, and not through physical or online stores.
“There’s a perception that there’s something very different about direct selling or it’s secret. I would say we’ve been the most transparent company; there are no secrets on how the business works; we just access the market slightly differently,” said DeVos.
Calling India, along with the United States and China as “three really strong, powerful markets in the world economy”, DeVos said: “India’s role will continue to grow and we want to be part of it.”
Addressing a query on the regulatory lens on direct selling companies, DeVos said: ""We’re like a retailer but a little different; we’re pretty normal, our compensation plans are published, our products are front and centre. If someone doesn’t want to listen, I don’t know how to answer that.”
Live Events
Three years ago, the Enforcement Directorate had attached Rs 750 crore worth of assets belonging to
Amway India
under the Prevention of Money Laundering Act (PMLA), alleging that Amway is running a ‘pyramid fraud’ in the guise of multi-level marketing, and that prices of most
Amway products
are “exorbitant compared to alternative products in the open market”. At that time, the company had responded that “the investigation dates back to 2011 and that it has been committed to all legal and regulatory compliances”.
DeVos added that the government's progress on the regulatory front has been one of the areas that it has been working on with the authorities for quite some time, while accepting “there’ll always be room to learn and reflect on the standards around the world”.
Amway India Enterprises’ losses doubled to Rs 52.78 crore for the financial year ended March 31, 2024, according to RoC filings. Sales were flat at Rs 1,283.75 crore in the year.
In 2023, the consumer affairs ministry had modified the Consumer Protection (Direct Selling) Rules, 2021 through a notification to distinguish between fraudulent pyramid and money-circulation schemes and legitimate, direct selling players. But industry body
Indian Direct Sellers Association
(IDSA) has said further clarity is needed in the definition of 'network of sellers’.
Amway, which sells nutrition supplements, skin-care products and toothpaste through 550,000 distributors, competes with FMCG products that are seeing double-digit growth on quick commerce delivery platforms—a channel the company has stayed away from.
“We’ve been addressing and dealing with this. Globally, 80-85% of our orders are being taken online from our distributors. But we still believe the element of personal relationships in the marketplace brings value... it is a differentiator for us,” DeVos said. He said Amway “wants to connect technology in quick commerce but with a relationship”.
In India, he said, the direct selling company is now delivering to consumers directly within 24 hours on its own platform. Last September, the India unit of the Michigan-headquartered company announced the setting up of four research and development (R&D) labs here on an investment of $4 million to develop health and well-being products for its domestic and overseas markets.
Amway reported global sales of $7.4 billion for the year ended December 31, 2024, a 3% decline over the previous year, which it attributed to the strength of the US dollar.
In multilevel marketing, companies sell products and services in a pyramid-shaped commission system, where key distributors recruit new distributors under them. These distributors earn when consumers buy products through them, and also earn when they recruit new distributors. All distributors need to pay a registration fee to the company.
(You can now subscribe to our
Economic Times WhatsApp channel
)",retail
"Zepto’s super-saver discounts boost basket sizes, yet squeeze profit margins",https://economictimes.indiatimes.com/industry/services/retail/zeptos-super-saver-discounts-boost-basket-sizes-yet-squeeze-profit-margins/articleshow/119422093.cms,24-03-2025,"Some
quick commerce
(10-minute delivery) companies are now exploring planned grocery purchases, a segment previously led by
BigBasket
, in an effort to tap into household bulk buying. However, an HSBC report highlights that this strategy comes with trade-offs, especially regarding profitability.
New value-oriented programs like
Zepto
's Super-Saver provide significant discounts but require higher minimum order values, often more than twice the typical average order value. While this approach boosts basket sizes, HSBC analysts point out that it also squeezes EBITDA margins, lowering them from approximately 6% to 3%.
It added that market leader
Blinkit
remains a premium-priced convenience player, avoiding deep discounts in favour of expanding categories and geographical reach. Swiggy Instamart falls somewhere in between the two, with competitive pricing but without the same push into bulk purchases.
Zomato
's Blinkit does not have a loyalty programme like Zepto Pass or Swiggy One.
Quick commerce thrives on high-frequency, low-ticket orders, serving as a supplement to modern retail rather than a replacement. Expanding into the value retail segment could reshape this dynamic. ""BigBasket's original model was this. Now you see even quick commerce looking this way. They are going behind DMart's target group, to beat the perception that quick commerce is priced on the higher side. Amazon India's original play in groceries had also taken this approach,"" Satish Meena, adviser at Datum Intelligence, told TOI.
(With TOI inputs)
Live Events
(You can now subscribe to our
Economic Times WhatsApp channel
)",retail
"Amazon, Flipkart found to have violated Indian quality control rules during warehouse raids",https://economictimes.indiatimes.com/industry/services/retail/amazon-flipkart-found-to-have-violated-indian-quality-control-rules-during-warehouse-raids/articleshow/119260943.cms,20-03-2025,"Retail giants Amazon and Walmart-owned Flipkart violated Indian quality control rules by stocking products that did not have the required standards certificate, India's top government-run product certification agency said on Thursday.
Raids on warehouses operated by both firms, conducted on Wednesday by the
Bureau of Indian Standards
in the Tiruvallur district of the southern Indian state of Tamil Nadu, found that the firms had violated rules by storing, selling and exhibiting products that did not carry the BIS standard mark, a government statement said.
A spokesperson for Amazon India said the company was engaged closely with various stakeholders including regulators, while a Flipkart spokesperson said it worked with sellers to drive awareness and to comply with all applicable laws.
""The platform has several processes to review the listings sellers make on the marketplace, and also conducts regular audits to ensure compliance,"" a spokesperson for Flipkart said in response to a request for comment.
The raids are the latest headache for the two firms, leading players in India's e-commerce market which consultancy firm Bain estimated was worth $57 billion-$60 billion in 2023 and set to top $160 billion in value by 2028.
Live Events
At the Amazon warehouse, 3,376 products without the standard mark, including flasks, insulated food containers, toys and ceiling fans were seized, according to the statement, while officials seized diapers, casseroles and stainless steel water bottles from the Flipkart warehouse.
Last September, an anti-trust investigation found that both companies violated local competition laws by giving preference to select sellers on their shopping websites.
A few weeks later, in November, investigators raided a number of Amazon and Flipkart sellers following a 2021 Reuters investigation based on internal Amazon documents that showed the company had for years given preferential treatment to small groups of sellers, and used them to bypass Indian laws.
Amazon has denied wrongdoing.
(You can now subscribe to our
Economic Times WhatsApp channel
)",retail
Why buying thrifted clothes is getting more appealing,https://economictimes.indiatimes.com/industry/services/retail/why-buying-thrifted-clothes-is-getting-more-appealing/articleshow/119211362.cms,19-03-2025,"Shoppers around the world are quickly adding more used shoes, accessories and clothes to their closets. Last year, they spent $227 billion on
secondhand apparel
, accounting for nearly 10% of all global spending on clothes, according to a new report from online resale marketplace ThredUp Inc.
The trend is set to accelerate, particularly in the US where President Donald Trump’s tariffs are likely to increase the price of new clothes, and globally thanks to a changing attitudes and artificial intelligence-aided shopping.
“You’re starting to see more and more consumers come to resale,” says James Reinhart, chief executive officer and co-founder of ThredUp. “Once people start shopping secondhand, they keep doing it.”
Consumers can now buy secondhand at a growing number of places. Alongside donation and vintage shops, there’s a growing online ecosystem for buying used, including eBay, ThredUp, Poshmark and other marketplaces where customers can directly sell and purchase items.
More brands are also setting up their own online resale offerings, either independently or by outsourcing to companies that provide resale services, including Archive and Trove.
Live Events
The latter has around 50 clients, including the addition of seven brands in the second half of 2024, according to Terry Boyle, the company's chief executive officer. Outdoor apparel maker Patagonia Inc, athleisure brand Lululemon Athletica Inc, and sneaker seller AllBirds Inc are all among those that use Trove’s services.
To attract more shoppers, some brands are looking to integrate resale with the rest of their business by launching shared online checkouts, as well as spending on third-party marketing for resale, according to Boyle.
Global secondhand fashion sales, which rose 15% in 2024 from the previous year, are projected to surpass $250 billion in 2025 and then exceed $300 billion in 2027, according to the report published Wednesday, based on ThredUp data and research from the third-party retail analytics firm GlobalData.
A better deal
A big reason why consumers buy used is because it’s affordable. Shopping secondhand let’s people get deals on all sorts of items, including garments from higher-end brands that may normally be out of reach if purchased new, according to the report.
In the US, President Trump’s recently imposed blanket 20% tariffs on all Chinese imports are expected to raise the costs of new clothing sold nationwide, which would expand the price gap between new and used items, explains Reinhart. While most new clothing sold in the US is produced overseas, largely in China, much of the apparel sold secondhand in the US comes from inside the country.
Shifting tastes
Consumer sentiment has also changed. Historically, there was a stigma around secondhand shopping, but “it’s now become the norm,” says Samina Virk, US chief executive officer for the high-end online resale marketplace Vestiaire Collective.
Online secondhand shopping is especially popular among younger generations, which have grown up with the internet and are comfortable buying and selling their clothes online, she adds.
Some consumers also are turning to secondhand items to avoid the greenhouse emissions generated by producing and transporting new clothes. Similarly, some people choose to sell their used clothes rather than trashing them because it’s more environmentally friendly. Vestiaire Collective’s data suggest that 79% of items sold on its site replace a firsthand purchase.
AI-assisted shopping
Reinhart points to another trend that could bump up used apparel sales in 2025 and beyond: AI.
Sorting through secondhand items to find exactly what you’re looking for can be clunky and time-intensive, especially online. To overcome this obstacle, Thredup is deploying AI tools that allow users to upload a picture of a shoe or jacket they want and sort through the site to find similar items.
This kind of experimentation in the coming years will help making shopping secondhand online just as seamless as buying new, Reinhart predicts.
(You can now subscribe to our
Economic Times WhatsApp channel
)",retail
"Mattress maker Slumberzone New Zealand enters into India, to set up first manufacturing unit in Hyderabad",https://economictimes.indiatimes.com/industry/services/retail/mattress-maker-slumberzone-new-zealand-enters-into-india-to-set-up-first-manufacturing-unit-in-hyderabad/articleshow/119203266.cms,19-03-2025,"Slumberzone New Zealand
, a luxury mattress maker said it will enter into India's rapidly growing $2.5 billion mattress market and will set up its first manufacturing unit in Hyderabad with an initial investment of Rs 100 crore.
This expansion highlights the company’s commitment to delivering
premium sleep solutions
and leveraging India’s robust manufacturing capabilities to serve both domestic and international markets, it said. Founded in 2005 by Ranjay Sikka, Slumberzone is the third largest player in the mattress and sleep accessories ecosystem in New Zealand with an annual sales exceeding Rs 200 crore.
“We are bringing an international product experience to Indian consumers, which will redefine the sleep market in India and create an international presence for the Slumberzone brand,” said Sikka, Managing Director of Slumberzone NZ, who was part of the delegation in Delhi to highlight New Zealand’s expanding commercial partnerships in India along with the country's Prime Minister Christopher Luxon.
The goal is to encourage more companies to establish manufacturing units in the country as part of the Government’s ""Make in India"" campaign, which aims to position India as a global manufacturing hub.
The Auckland-based retailer and manufacturer’s expansion into the Indian market is to cash in on the growing demand amongst consumers for functional sleep solutions. The company plans to make the Hyderabad unit operational by March 2026 with a production capacity of 1000 units per day. The company is looking to hire around 200-250 skilled and unskilled workers locally.
Live Events
The venture aims to meet the growing demand for premium sleep products in India while positioning the facility as a key export hub targeting international markets.
“With Slumberzone, our aim is to challenge China’s dominance in the mattress industry by offering superior quality products and strengthening India’s position as a global export hub,"" Vidhul Sikka, Chief Business Officer and Director of Slumberzone India, said.
Over the next three years, it plans to open 20 physical retail stores across India while also offering select specialized products on its eCommerce platform.
“With a strong focus on technology-driven sleep solutions and sustainability in India, we target $100 million in annual revenue, reinforcing our position as an industry leader worldwide over the next 5 years,” Sikka added.
(You can now subscribe to our
Economic Times WhatsApp channel
)",retail
Myntra Home sees 60% YoY rise in demand; becomes one of the fastest-growing categories on the platform,https://economictimes.indiatimes.com/industry/services/retail/myntra-home-sees-60-yoy-rise-in-demand-becomes-one-of-the-fastest-growing-categories-on-the-platform/articleshow/119152825.cms,18-03-2025,"Myntra has seen the emergence of its Home category as one of its fastest-growing segments, witnessing a 60 per cent year-on-year rise in demand.
“Last year, we collaborated with Masaba, who became the curator for our selection, themes and looks for the Home category. Her role as the brand ambassador helped Myntra strengthen the premium positioning of the category with curated collections,” the online fashion retailer said in a press release on Tuesday.
With more brands onboarded, the Bengaluru-based company has scaled up its overall selection for the dedicated Home storefront to over 5 lakhs with 1700+ brands, catering to the surge in demand with an overall 70% YoY increase in selection.
On
M-Now
, i.e. Myntra’s 30-minute delivery service, the category rose to be one of the top 3 in terms of customer demand witnessed.
“Myntra’s expertise in fashion has provided a strong foundation for adapting our platform to home decor shopping by focusing on personalization, trend-driven curation, and seamless shopping experiences. While fashion shopping emphasizes individual style and fit, home decor shopping is more about visualizing complete aesthetics and thematic coherence.”
Live Events
With the launch of GenAI powered ‘Dream Room Inspiration’ on the Myntra app, customers can seek home decor inspirations from curated themes and explore different products that match each theme, the company said in the release.
Sharon Pais, Chief Business Officer, Myntra, said, “Trust built across premium customer cohorts, a huge base of 70 million monthly active users and deep market penetration have encouraged us to bolster our lifestyle positioning, in addition to fashion. Driven by the commitment to solve the evolving needs of our customers,
Myntra Home
, at 60% YoY, is growing faster than the market. Taking the Home shopping experience a notch higher, the launch of ‘Dream Home Inspiration’ will allow an inspiration-driven shopping journey, focussing on trend-first themes, that help customers visualize how products can come together to create a cohesive look, reflecting their aesthetic sensibilities, similar to that of a fashion shopping experience. With Home becoming an equally integral part of one's lifestyle, we are leveraging our tech prowess to simplify the process from discovery to purchase based on trends and themes while elevating the shopping experience for home products.”
Meanwhile, demand for home, living & decor, kitchen and appliances is growing massively on the platform month on month, with each of them growing at approximately 100% YoY. Home decor, quirky paintings, handmade artistry, artificial flowers and plants etc., are witnessing a spike in demand.
(You can now subscribe to our
Economic Times WhatsApp channel
)",retail
