headline,link,date,content
Tech and telecom companies seek sops for submarine cable infra,https://economictimes.indiatimes.com/industry/telecom/telecom-policy/companies-seek-sops-for-submarine-cable-infra/articleshow/119496008.cms,26-03-2025,"Technology and telecom companies are seeking government incentives such as lower licence fees on cable landing stations, declaring subsea cables as critical assets, tax exemptions on cable imports and creation of a separate cable corridor to attract more investments in
submarine cable infrastructure
in India.
Companies such as telecom operator
Bharti Airtel
and social media giant Meta—the owner of WhatsApp, Facebook and Instagram—put forward these demands during an industry event on subsea cable infrastructure.
“If we want to spur up investments in subsea, we need to incentivise the sector to go ahead further...can we look at the licence fee on the cable landing stations. We have to declare the cable as a strategic national asset; there should be tax exemption on import of cables etc,” Rahul Vatts, chief regulatory officer at
Bharti Airtel
said at the event.
Scott Cowling, director, network investments at Meta said the sector should not be overregulated if India wants to emerge as a leader in digital infrastructure.
“We create an attractive environment so that companies don't just have to come but they want to come because they know that there is reliability and confidence in the process,” said Cowling.
Live Events
On Meta’s investments in India, he said the US company has landed three subsea cables to date. It excludes the recently announced Project Waterworth.
“These multi-billion dollar cable systems help in providing greater diversity, reliability and capacity to power India's growing internet ecosystem and economic growth,” he said.
According to the Telecom Regulatory Authority of India (Trai), the global submarine communication cable market is expected to grow 7.2% compounded annually to $40.58 billion in 2028 from $27.57 billion in 2023. The Indian market—the fastest growing in the Asia Pacific region—is expected to reach $78.6 million by 2030.
Cowling said India has all the opportunities for becoming one of the leading global infrastructure leaders in the coming years with the country already being one of the world’s top five economies with a highly educated and young demographic makeup and is advantageously positioned geographically.
“As for these reasons and many more, Meta is focussed on increasing our investments in India. Project Waterworth is really centered on India...with landing stations on both east and west coast. This is just one tangible example of the future importance that we see in India, and I can assure you, there is much more to come,” Cowling said.
With Meta pushing the paddle on submarine cable investments for building a robust digital infrastructure, Bharti Airtel said the company has been making investments in subsea cables in India for the past 25 years, which it is continuing to expand upon to meet growing demand for data.
Historically, the telecom and tech industries have been at loggerheads in terms of telecom infrastructure investments with the former claiming that it makes most of the investments while the latter is a mere user utilising those investments. Telcos have been seeking a fair share from tech firms to compensate them for their large capital spends on building networks.
“We started the investments not today but 25 years ago where we made the first investment in the international cable business. We built the first private submarine cable connecting India to Singapore using an eight-pair fibre cable system and we have made investments in 11 different cable systems with over $800 million over this time,” said Vatts.
He noted that Airtel has around 400,000 route km of fiber and 10 large data centres, and that the company has invested in 34 large cable systems globally.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Telecom dept rejects Trai views on infra sharing by service providers backed by public fund,https://economictimes.indiatimes.com/industry/telecom/telecom-policy/telecom-dept-rejects-trai-views-on-infra-sharing-by-service-providers-backed-by-public-fund/articleshow/119493763.cms,25-03-2025,"New Delhi: The Department of Telecom has rejected
Trai
views on passive infrastructure sharing by service providers supported by public fund, according to a document released by the telecom regulator. The Telecom Regulatory Authority of India (Trai) had last year recommended that the Department of Telecom (
DoT
) should explore the feasibility of issuing instructions to such USPs that the USP (universal service provider) shall not refuse to share the passive infrastructure laid under the project with at least two other telecom service providers on a transparent and nondiscriminatory basis.
USPs are the entities that build and provide telecom services in rural and remote areas with support from
Universal Service Obligation Fund
(USOF) which has been renamed as
Digital Bharat Nidhi
.
The Department of Telecom in its communication sent to Trai for seeking clarifications on some of the recommendations over ""telecommunication infrastructure sharing, spectrum sharing and spectrum leasing"" said that this suggestion of the regulator ""May not be accepted"" without elaborating on any reason.
The regulator said that in absence of any supporting justification or rationale provided by DoT for not accepting the recommendation, ""the Authority is constrained to reiterate the Recommendation"".
Trai, however, has relented on DoT suggestion over inter-band spectrum sharing that ""any frequency spectrum should be permitted to be shared under inter-band access spectrum sharing only after a lock-in period of two years from the date of its acquisition"".
Live Events
DoT has expressed concern over the lock-in period of two years proposed by Trai.
Trai realised that if its recommendation is implemented then a telecom operator will not share its existing spectrum if it adds even a small amount of spectrum in the same band for a period of two years.
The regulator accordingly modified the recommendation.
""The access spectrum in any frequency band should be permitted to be shared under inter-band access spectrum sharing if at least 80 per cent of the spectrum holding in the frequency band meets the condition of the lock-in period of two years from the date of its acquisition,"" Trai said.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"Vodafone Idea, Jio, Airtel likely set for relief worth thousands of crores as govt plans SUC waiver",https://economictimes.indiatimes.com/industry/telecom/telecom-policy/vodafone-idea-jio-airtel-likely-set-for-relief-worth-thousands-of-crores-as-govt-plans-suc-waiver/articleshow/119416005.cms,24-03-2025,"The government is set to waive spectrum usage charges (SUC) for airwaves acquired through auctions before September 2021, a move expected to provide telecom companies with relief worth thousands of crores. The decision will help
Vodafone Idea
,
Airtel
, and
Reliance Jio
conserve cash as they expand 5G services and strengthen their networks, an official source told The Times of India.
In June 2022, the government removed SUC for spectrum auctioned after September 15, 2021. However, no decision had been taken regarding airwaves purchased in earlier auctions. Now, the waiver is expected to be extended to pre-2021 spectrum as well.
""The move to waive off SUC for spectrum bought through auctions before 2022 is likely to be approved soon. The plan is to give relief to the telecom companies so that their network expansion work continues strongly,"" the source said.
Officials believe that competitive bidding in previous auctions had already ensured fair pricing, making further taxation through SUC unnecessary. Currently, telecom operators pay SUC at 3-4% of their adjusted gross revenue (AGR) and an 8% licence fee, which includes a 5% contribution to the Universal Service Obligation Fund (USOF).
""The matter has already been discussed within DoT and relevant ministries, and an announcement on the waiver can come soon,"" the source added.
Live Events
You Might Also Like:
Vi makes emergency call to DoT for equity conversions, seeks nod for rejigs to get relief on spectrum, AGR dues
One of the biggest beneficiaries of the waiver is likely to be
Vodafone Idea
, which is struggling under a debt burden exceeding ₹2 lakh crore. ""It is believed that the company may get a benefit of around ₹8,000 crore,"" the source said.
The waiver comes at a time when
Indian telecom operators
are preparing for the entry of Elon Musk’s Starlink, which is launching a ₹2-lakh-crore venture in the sector. However, while local telecom firms will see their SUC obligations eliminated, Starlink will still be required to pay charges on its spectrum.
""The reason for Starlink and other satellite operators being asked for SUC is that they will get the spectrum on an administrative basis instead of competitive auctions. The thinking is clear that any company getting spectrum through govt allocation at a pre-determined price will need to pay tax on the spectrum,"" the source said.
Meanwhile, Vodafone Idea’s financial troubles persist. CEO Akshaya Moondra recently urged the Department of Telecommunications (DoT) to allow the conversion of its upcoming AGR and spectrum purchase dues from the 2012, 2014, 2015, and 2016 auctions into government equity. If approved, the government’s stake in Vodafone Idea could rise to 49% from the current 22.6%.
You Might Also Like:
In setback for Vi, DoT drops AGR waiver plan
The telecom joint venture between the UK’s Vodafone Plc and India’s Aditya Birla Group has also told DoT that it does not have the financial capacity to provide a ₹6,091 crore bank guarantee or make a cash payment of ₹5,493 crore to cover a shortfall from the 2015 spectrum auction. The company has requested the DoT not to take “any coercive action” against it.
Moondra’s appeal follows the government’s decision to put a proposal to waive telcos'
AGR dues
on hold due to a lack of consensus within top government circles. This has dealt a fresh blow to Vodafone Idea, which was hoping for relief on its mounting dues.
With no reprieve on AGR payments, Vodafone Idea faces a sharp rise in regulatory payouts once the moratorium on such payments ends in September.
JM Financial
estimates that the company will have to pay ₹29,100 crore by March 2026. From FY27 onwards, its annual regulatory payments are projected to increase further, reaching an estimated ₹43,000 crore per year until FY31.
At the end of December, Vodafone Idea’s AGR dues stood at ₹70,000 crore, while its cash reserves were at a modest ₹12,090 crore.
You Might Also Like:
Elon Musk's Starlink may face spectrum tax in India, raising service costs
The DoT is expected to work on a revised relief plan for the struggling
telecom sector
, particularly in light of Vodafone Idea’s deteriorating financial condition.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Trai starts talks with broadcasters for overhauling regulatory system,https://economictimes.indiatimes.com/industry/telecom/telecom-policy/trai-starts-talks-with-broadcasters-for-overhauling-regulatory-system/articleshow/119175555.cms,22-03-2025,"The
Telecom Regulatory Authority of India
(TRAI) has initiated discussions with broadcasting industry stakeholders as part of its efforts to overhaul the sector’s regulatory framework, said people directly aware of the matter.
The regulator is preparing a consultation paper aimed at conducting a holistic review of existing regulations, they added.
On Tuesday, TRAI held a meeting with television broadcasters, including representatives from the Indian Broadcasting and Digital Foundation and the News Broadcasters and Digital Association, to discuss key issues that could be addressed in the upcoming consultation process.
The meeting focused on identifying challenges and areas requiring reform within the current regulatory landscape. Stakeholders have been requested to submit their concerns and suggestions by April 5 for consideration in the consultation process.
According to sources familiar with the matter, the consultation paper will lay the foundation for a more balanced regulatory framework. Tuesday’s meeting marks the first in a series of discussions aimed at ensuring inclusivity in the decision-making process, they said.
Live Events
TRAI also plans to engage further with industry representatives to develop policies that align with evolving market dynamics. It is scheduled to meet with distribution platform operators (DPOs) on Wednesday to understand their concerns and gather additional insights.
TRAI appears to be leaning towards deregulating the broadcasting sector to enhance its competitiveness against digital platforms, particularly over-the-top services, sources who attended Tuesday’s meeting said on the condition of anonymity.
Currently, channel pricing, carriage fees and the discounts offered by broadcasters to DPOs are subject to upper limits. The industry has been advocating for the removal of these restrictions to enable broadcasters and DPOs to conduct business more independently.
“Broadcasters pointed out that the industry is currently heavily regulated. If TRAI wants the sector to compete effectively with OTT platforms, the regulatory burden needs to be reduced,” said one of the officials present at the meeting.
During his address at the Ficci FRAMES 2024 event, TRAI chairman AK Lahoti reaffirmed the regulator’s commitment to fostering an orderly and transparent broadcasting industry. He emphasised the need to facilitate the entry of new players and emerging technologies while ensuring that existing businesses do not face undue challenges.
The broadcasting sector is currently undergoing significant upheaval due to rapid technological advancements and shifting consumer preferences. The rise of over-the-top platforms and DD Free Dish has had a profound impact on the pay-TV industry, with the number of subscribers falling to 84 million from 120 million in the last few years.
The broadcasting industry has been demanding a level playing field, arguing that television channels are heavily regulated, while OTT platforms and DD Free Dish face minimal regulatory oversight.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"Elon Musk's Starlink may face spectrum tax in India, raising service costs",https://economictimes.indiatimes.com/industry/telecom/telecom-policy/elon-musks-starlink-may-face-spectrum-tax-in-india-raising-service-costs/articleshow/119163600.cms,18-03-2025,"Starlink
is likely to be subjected to a
spectrum usage charge
(SUC) in India, a levy that had been scrapped for terrestrial network providers such as Reliance Jio,
Airtel
, and
Vodafone Idea
a few years ago, ToI reported citing sources. If imposed, the tax will increase costs for the Elon Musk-led satellite communications company in India.
The potential charge adds to the challenges Starlink is already facing as it negotiates strict compliance mandates related to internet suspension and interception.
Sources told ToI, Starlink, which is set to receive telecom airwaves through administrative allocation under the new telecom law passed in December 2023, may have to pay around 3% SUC on its adjusted gross revenue from the country.
""Since spectrum will be 'administratively assigned' to satellite operators instead of auction, SUC will be applicable, for which final rates are being worked upon,"" one of the sources said.
This means satcom players will have to pay SUC in addition to the 8% licence fee already applicable to all telecom companies. ""It may even be higher than 3%, though this is still being discussed.""
Live Events
MORE STORIES FOR YOU
✕
Starlink readies road for India’s strong connectivity
Starlink's satellite broadband poses limited threat to Indian telcos: Report
From foes to friends: How Musk, Trump & Indian telcos aligned on Satcom deals
«
Back to recommendation stories
I don't want to see these stories because
They are not relevant to me
They disrupt the reading flow
Others
SUBMIT
The Telecom Regulatory Authority of India (Trai) is finalising the pricing, tenure, and taxation of satellite spectrum. ""Discussions within Trai are believed to have come to the conclusion that there is a requirement to mandate SUC for satcom players, since they will be allotted spectrum administratively at a pre-determined price,"" the source added.
Trai is expected to submit its recommendations on satcom spectrum allocation soon. These will be reviewed by the Department of Telecommunications (DoT), which may seek further clarifications before referring the matter to the inter-ministerial Digital Communications Commission (DCC). Following DCC’s approval, the issue will be placed before the Cabinet.
In June 2022, the government decided to remove SUC for bandwidth auctioned after September 15, 2021, across various frequencies.
Sources said SUC would also apply to other satellite operators, including Eutelsat OneWeb, in which Airtel promoter
Sunil Mittal
holds a stake, and Reliance Jio-SES, the satellite communications joint venture between
Jio Platforms
and Luxembourg-based SES.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"TRAI plans to limit satellite permits to five years, defying Musk's Starlink",https://economictimes.indiatimes.com/industry/telecom/telecom-policy/trai-plans-to-limit-satellite-permits-to-five-years-defying-musks-starlink/articleshow/118968945.cms,13-03-2025,"India's telecom regulator plans to recommend that satellite broadband spectrum be allotted for around five years to assess initial market adoption, defying Elon Musk's Starlink, which is seeking a 20-year permit, said a senior government source.
The Telecom Regulatory Authority of India (TRAI) is currently working on key recommendations to the federal government, including a time frame and pricing of satellite spectrum, which will be administratively allotted.
Musk and Indian billionaire Mukesh Ambani forged a partnership this week that will allow Starlink devices to be sold in Ambani's
Reliance
stores, giving it large distribution access. They were rivals earlier - Ambani's telco subsidiary had unsuccessfully lobbied New Delhi for months to auction spectrum, and not allot it administratively as Musk wanted.
Starlink has pushed New Delhi to allot spectrum for 20 years to focus on ""affordable pricing and longer-term business plans"", while Reliance sought it for three years, after which it wants India to reassess the market, according to their public submissions.
Another Indian telco,
Bharti Airtel
, has also pushed for a 3-5 year period for the licence. Airtel and Musk have also signed a distribution deal for Starlink, like Ambani's Reliance.
Live Events
TRAI plans to agree to demands for a lower licence time-frame ""of around 5 years and then see how the sector grows,"" said the senior government source, who declined to be named as the decision-making process is confidential.
""This will help understand how the market stabilises, so there's no point going beyond five years,"" said the official.
An industry source familiar with licensing processes said the shorter time-frame will allow New Delhi to revise spectrum prices after five years as the market develops.
TRAI did not respond to Reuters queries. Airtel, Reliance and Starlink also did not immediately respond.
The government source added it will take about a month for the TRAI to finalise its recommendations on the licence time- frame and a per megahertz spectrum pricing, which will then be submitted to India's telecoms ministry for further action.
Musk's deals with Reliance and Airtel are subject to Starlink winning pending regulatory clearances in India, but came weeks after Indian Prime Minister Narendra Modi met Musk in Washington, where they discussed issues including space, mobility, technology and innovation.
Ambani has been worried that his telecom company, which spent $19 billion in airwave auctions, risks losing broadband customers to Starlink and potentially even data and voice clients later.
The satellite spectrum pricing ""will be substantially lower"" than traditional telecom licences, which are granted via auction for 20 years, the government official added.
KPMG estimates India’s satellite communication sector will grow more than 10 times in size to touch $25 billion by 2028.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
New Telecom Act to be fully implemented by June-July: DoT's Neeraj Mittal,https://economictimes.indiatimes.com/industry/telecom/telecom-policy/new-telecom-act-to-be-fully-implemented-by-june-july-dots-neeraj-mittal/articleshow/118789382.cms,07-03-2025,"India’s newly unveiled
Telecommunications Act 2023
, that seeks to consolidate and revamp the historical framework, will be fully enacted by the mid of thei year, a top official said.
“It will be fully operationalised in June-July this year, since the authorisation, service and network, are the only things which are pending. So, it will be 100% implemented by then,”
Neeraj Mittal
, Secretary,
Department of Telecommunications
told ETTelecom.
In December 2023, the then telecom minister
Ashwini Vaishnaw
introduced the Bill and both houses of the Parliament passed the Indian Telecommunications Act, 2023 that seeks to repeal the Indian Telegraph Act, 1885. It received the presidential accent on December 24, 2023.
The new framework aimed to consolidate laws relating to development, expansion and operation of telecommunication services and networks, and unveiled a new system of administrative allocation of spectrum for satellite broadband services.
“Trai is working on the recommendations including satellite spectrum pricing,” Mittal added.
Live Events
The law simplifies the prevalent licensing regime for telecom service providers by reducing regulatory burdens with an aim to lower entry barriers for new players, start-ups and small-and-medium enterprises.
“The material provisions dealing with authorisations, which have the potential to significantly improve the existing licensing framework, and several disputed areas, remain to be notified,” Arun Prabhu, Partner, Cyril Amarchand Mangaldas said.
The Trai consultation on these, along with attendant recommendations, according to Prabhu, are starting to emerge, and if these recommendations are expeditiously adopted, and rules notified, the process may move towards completion.
On June 21, 2024, the Ministry of Communications, notified Sections 1, 2, 10 to 30, 42 to 44, 46, 47, 50 to 58, 61 and 62 of the Telecommunications Act 2023, making them effective from June 26, 2024.
Separately, on July 5, 2024, a few features were also brought into force that includes conditions for the appointment of the sector regulator’s chairperson and members, as well as optimal use of radio waves and prohibition of use of equipment for blocking communication services.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
ET Graphics: Telcos must evolve into digital orchestrators for B2B success,https://economictimes.indiatimes.com/industry/telecom/telecom-policy/et-graphics-telcos-must-evolve-into-digital-orchestrators-for-b2b-success/articleshow/118768832.cms,07-03-2025,"A majority of
enterprise customers
of
telecom operators
in
India
expect telcos to simplify the experience through
digitalisation
and
automation
, and go beyond
connectivity
to provide industrytailored solutions. They are also keen to collaborate with telcos to solve their business challenges, a survey by Capgemini Research Institute has indicated.
WHAT THEY WANT FROM TELCOS
THEIR OFFERS TO TELCOS
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"DoT makes satellite equipment testing, certification mandatory ahead of satcom services launch",https://economictimes.indiatimes.com/industry/telecom/telecom-policy/dot-makes-satellite-equipment-testing-certification-mandatory-ahead-of-satcom-services-launch/articleshow/118768451.cms,07-03-2025,"The Department of Telecommunications (DoT) has made testing and certification of satellite equipment, such as gateways and user terminals, mandatory with India all set to start satellite communication services soon.
From August-end, only certified equipments can be used or imported by companies for satcom services in India, where such certification has been made mandatory for the first time.
On February 25, the DoT notified standards and conformity assessment measures applicable to 14 types of telecommunication equipment, including non-geostationary orbit (NGSO) satellite equipments like integrated gateway and user terminals. The mandate comes into effect after 180 days of the notification.
Firms such as
Eutelsat-OneWeb
and Jio-SES combine are vying to start services at the earliest, and are awaiting allocation of spectrum, having secured all the regulatory approvals. Elon Musk-owned Starlink, too, is close to getting approval, with the company submitting the required documents to the government and the space regulator.
Once the mandate kicks-in from August-end, ""no person shall import, sell, distribute or use the telecommunication equipment specified in schedule, except in accordance with the mandatory testing and certification of telecom equipment measures as specified by the Telecommunication Engineering Centre,"" the notification said.
Artificial Intelligence(AI)
Java Programming with ChatGPT: Learn using Generative AI
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
Basics of Generative AI: Unveiling Tomorrows Innovations
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
Generative AI for Dynamic Java Web Applications with ChatGPT
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Marketing
Performance Marketing for eCommerce Brands
By - Zafer Mukeri, Founder- Inara Marketers
View Program
Artificial Intelligence(AI)
Mastering C++ Fundamentals with Generative AI: A Hands-On
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Finance
A2Z Of Money
By - elearnmarkets, Financial Education by StockEdge
View Program
Artificial Intelligence(AI)
Master in Python Language Quickly Using the ChatGPT Open AI
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Office Productivity
Zero to Hero in Microsoft Excel: Complete Excel guide 2024
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
AI and Analytics based Business Strategy
By - Tanusree De, Managing Director- Accenture Technology Lead, Trustworthy AI Center of Excellence: ATCI
View Program
Technology
Certified Jenkins Professional
By - Vskills, India's Leading Certification Body
View Program
Astrology
Vastu Shastra Course
By - Sachenkumar Rai, Vastu Shashtri
View Program
Data Science
SQL for Data Science along with Data Analytics and Data Visualization
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Web Development
A Comprehensive ASP.NET Core MVC 6 Project Guide for 2024
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Office Productivity
Mastering Microsoft Office: Word, Excel, PowerPoint, and 365
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Marketing
Digital marketing - Wordpress Website Development
By - Shraddha Somani, Digital Marketing Trainer, Consultant, Strategiest and Subject Matter expert
View Program
Web Development
Mastering Full Stack Development: From Frontend to Backend Excellence
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Finance
Financial Literacy i.e Lets Crack the Billionaire Code
By - CA Rahul Gupta, CA with 10+ years of experience and Accounting Educator
View Program
Leadership
Business Storytelling Masterclass
By - Ameen Haque, Founder of Storywallahs
View Program
Marketing
Future of Marketing & Branding Masterclass
By - Dr. David Aaker, Professor Emeritus at the Haas School of Business, UC Berkeley, Author | Speaker | Thought Leader | Branding Consultant
View Program
Strategy
ESG and Business Sustainability Strategy
By - Vipul Arora, Partner, ESG & Climate Solutions at Sattva Consulting Author I Speaker I Thought Leader
View Program
The mandatory testing and certification of telecommunication equipment scheme was launched in 2019. The primary aim of the scheme was to ensure that any telecom equipment does not degrade performance of existing network, protection of users and that the telecom equipment complies with the relevant national and international regulatory standards.
The scheme was implemented in different phases with different sets of equipment taken into the mandate under each phase. The government has now notified products that will be included in phase 5 of the scheme, including satellite communications equipment.
The nascent satcom industry is set to move to newer heights in coming years with the likes of Eutelsat-OneWeb, Starlink, Jio's joint venture with Luxembourg-based satellite provider SES and Amazon Kuiper, vying to capture the market.
A fierce battle is playing out with Starlink and Amazon Kuiper on one side--who want spectrum allocation without auctions-and private telecom operators on the other. The telcos-Reliance Jio,
Bharti Airtel
and Vodafone Idea--are seeking allocation of airwaves to the highest bidder.
The Telecom Regulatory Authority of India (Trai) is expected to soon provide details around pricing of satcom spectrum. At stake is a share of the country's space economy that has the potential to hit $44 billion by 2033, and account for about 8% of the global share, from 2% now, according to space regulator IN-SPACe.
Eutelsat OneWeb and Jio-SES combine have already got GMPCS licences besides approvals from IN-SPACe. Starlink and Amazon have got neither so far.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"Reliance Jio, Airtel seek ‘fair competition’ as govt weighs Starlink’s satcom licence",https://economictimes.indiatimes.com/industry/telecom/telecom-policy/reliance-jio-airtel-seek-fair-competition-as-govt-weighs-starlinks-satcom-licence/articleshow/118732779.cms,05-03-2025,"Indian telecom majors
Reliance Jio
and
Airtel
have urged the government to ensure a level playing field in the
satellite communications
sector as it prepares to decide on a licence and spectrum allocation for
Elon Musk
’s
Starlink
, ToI reported. The companies have called for “comparable”
spectrum pricing
for satellite operators to prevent what they term as “market distortions.”
In a petition to the government, the telecom firms have accused the Telecom Regulatory Authority of India (Trai) of not addressing the competitive imbalance between satellite and terrestrial spectrum allocation. “Comparable spectrum pricing to terrestrial services should be enforced for competing satellite services in urban/semi-urban/rural areas for retail/enterprise customers,” the representation said. It argues that satellite operators providing similar services must comply with the same pricing, regulatory levies, and fees as terrestrial telecom providers.
The new telecom law passed in December 2023 allows
satellite spectrum
to be assigned administratively for a fee, unlike terrestrial spectrum, which is auctioned. However, the specifics of pricing and allocation are still being worked out by Trai.
Jio and
Airtel
have raised concerns over low-earth orbit (LEO) mega-constellations, arguing that their broadband speeds and capacity are comparable to those of terrestrial networks. “Given the oversupply of broadband capacity that these entities are bringing to market, they will distort competition of terrestrial broadband, especially in urban/semi-urban areas serving retail/enterprise customers,” the petition stated.
The telecom firms acknowledged that satellite spectrum should be assigned administratively at lower prices for specific non-competing uses, such as government functions, disaster recovery, cellular backhaul, and sectors like defence, maritime, and aviation. However, they insist that commercial satellite operators should not receive preferential pricing.
Live Events
MORE STORIES FOR YOU
✕
Satcom policy should be fair in urban areas: Sunil Mittal
Spectrum for satcom services won't be auctioned: Govt to Lok Sabha
«
Back to recommendation stories
I don't want to see these stories because
They are not relevant to me
They disrupt the reading flow
Others
SUBMIT
Despite industry concerns, the government has remained firm in its decision to assign satellite spectrum without auctions. Telecom Minister Jyotiraditya Scindia has defended this approach, citing technological differences between terrestrial and satellite-based networks. “As far as terrestrial networks are concerned, you can allocate frequencies exclusively, which can’t be used by others… but satellite spectrum is shared. How do you auction something that’s shared? You can’t,” he said.
Meanwhile, Starlink’s application for a satcom licence remains under review, pending security clearances. Company representatives have been engaging with the Department of Telecommunications and the Ministry of Home Affairs as the process nears its final stages, ToI reported citing sources.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
