headline,link,date,content,sector
Bangladesh's textile industry feels regime change heat,https://economictimes.indiatimes.com/industry/cons-products/garments-/-textiles/bangladeshs-textile-industry-feels-regime-change-heat/articleshow/119314973.cms,22-03-2025,"The textile industry in Bangladesh - the country's biggest foreign exchange earner - is staring at its worst crisis in recent years exacerbated by abysmal support from the interim regime in Dhaka.
Ananta Jalil, a prominent Bangladeshi entrepreneur dealing in readymade garments, alleged earlier this week that the Bangladeshi economy might collapse soon, as chief adviser Md Yunus is forcefully shutting down the garment sector.
Addressing a public forum, Jalil claimed that millions of workers have been rendered jobless and that Bangladesh's garment-related businesses are losing their market worldwide.
Jalil claimed that Yunus is eliminating all incentives for the garment industry, particularly during the Ramadan period and ahead of Eid. This was one of the rarest outbursts from a leading Bangladeshi businessman since the ouster of Prime Minister Sheikh Hasina last August.
Bangladesh's garment industry contributes as much as 84% of its foreign exchange earnings annually. The industry is also a major employer - more than 4 million people directly and nearly 15 million indirectly - with a major share of women.
Live Events
(You can now subscribe to our
Economic Times WhatsApp channel
)",textile
Nawaz Modi Singhania quits Raymond board as director,https://economictimes.indiatimes.com/industry/cons-products/garments-/-textiles/nawaz-modi-singhania-resigns-as-director-on-raymond-board/articleshow/119220667.cms,19-03-2025,"Raymond Ltd
Chairman and Managing Director
Gautam Singhania
's estranged wife
Nawaz Modi Singhania
has resigned as a director on the board, according to a statement by the company on Wednesday.
The resignation is effective today, the stock exchange filing said.
Commenting on the resignation, company
CMD Gautam Singhania
said, ""We thank
Ms Nawaz Modi Singhania
for her services as a Board member over the years. As a company, we are committed to upholding the highest level of governance while continuing to navigate the evolving landscape of the industry.""
In her resignation letter, shared on BSE by the company, Nawaz Modi Singhania said she was tendering her resignation as director with immediate effect due to personal reasons.
""I am thankful to the Board of Directors for the memorable association during my tenure and supporting me throughout my term,"" she wrote.
Live Events
In 2023, Gautam Singhania announced his separation from his wife Nawaz, after 32 years of relationship. They have two children.
Nawaz Modi-Singhania was removed from the boards of three privately held companies within the Raymond Group, namely JK Investors (JKI) (Bombay), Raymond Consumer Care (RCCL), and Smart Advisory and Finserve.
Modi-Singhania was serving as a director in JKI since June 2015, in RCCL since December 2020, and in Smart Advisory & Finserve since October 2017.
Upon receiving notification of her removal from Smart Advisory and Finserve and Raymond Consumer Care, Modi-Singhania had expressed her grievances, stating, ""I have been mistreated since the time I have been exposing Singhania over his misdeeds. First the assault, and now the ouster.""
(You can now subscribe to our
Economic Times WhatsApp channel
)",textile
Stars & stripes on demand: Indian exporters eye boost as US plans another 10% tariff on Chinese imports,https://economictimes.indiatimes.com/industry/cons-products/garments-/-textiles/stars-stripes-on-demand-indian-exporters-eye-boost-as-us-plans-another-10-tariff-on-chinese-imports/articleshow/118691651.cms,04-03-2025,"Indian apparel exporters
are increasing capacities to leverage the US decision to impose a 10% duty on Chinese imports.
They also see the possibility of a settlement between Russia and Ukraine and hope that would improve orders from Europe. Meanwhile, Indian exporters are getting orders from global brands that had been procuring garments from Bangladesh, amid heightened political uncertainties and law-order problems in that country. Manufacturing units in Tamil Nadu's Tiruppur, India's largest garment exporting hub, have doubled their capacity over the past six months to meet the growing demand.
""Those units which had 500 machines have increased it to 1,000 and the bigger units have increased the number to 10,000 machines from 5,000,"" said KM Subramanian, president of the Tiruppur Exporters Association.
The 10% tariff will make Chinese textiles and apparel costlier for US consumers. Industry executives say it would lead to a slowdown in US imports from China, offering India and other textile exporting nations a chance to fill that gap.
Live Events
Tiruppur has around 28,000 manufacturing units involved in various processes across the textile value chain, including knitting, dyeing, bleaching, printing, embroidery, compacting, calendaring, employing roughly 800,000 people. The cluster, which contributes 55% of the country's knitwear exports, is receiving orders from global brands from the US, such as GAP, Carter's, Target and Walmart, as well as European giants like Next and Duns and Australia's Woolworths.
Sanjay Jain, chairman of the ICC National Textile Committee, who exports casual wear to the global markets, is setting up a new plant to increase capacity from 2.5 million pieces to 3.5 million per month. The new plant, which is coming up in West Bengal, will be ready by July-August.
""US President Donald Trump has threatened to impose another 10% duty on Chinese imports. If that happens then, the Indian apparel and textile sector will further benefit,"" he said.
Trump last week said his proposed tariffs on Mexico and Canada will go into effect from March 4 and that China will be charged an additional 10% tariff on the same date. Jain said if Trump could help settle the war between Russia and Ukraine, then orders from Europe would also increase. Also, India and the European Union have finalised to give shape to a free trade agreement by year-end, which would provide a fresh fillip to garment and textile sector exports. The production increase will help Indian exporters increase their presence in the global markets, he said. The apparel industry is expecting 10-15% growth in exports in the next fiscal year starting April. Exports have expanded 11.6% from a year earlier in the April-January period of fiscal 2025.
At present, China accounts for nearly a quarter in textiles and apparel imported by the US. In the January-November period of 2024, the US had imported China textiles and apparel worth $99.125 billion, as per latest trade data released by the US Office of Textiles and Apparel.
Bangladesh, the second-largest supplier of garments after China, has not yet fully recovered from the August 2024 political upheaval. In such a scenario, India may be in a strong position to take a large share of the gap created by the imposition of tariffs on China, say exporters.
(You can now subscribe to our
Economic Times WhatsApp channel
)",textile
SECL inks MoU with Apparel Training & Design Centre for skill training,https://economictimes.indiatimes.com/industry/cons-products/garments-/-textiles/secl-inks-mou-with-apparel-training-design-centre-for-skill-training/articleshow/118627825.cms,28-02-2025,"South Eastern Coalfield Limited (
SECL
), a mini Maharatna Company and Apparel Training & Design Centre (ATDC), a leading
vocational training
provider set up by Apparel Export Promotion Council (AEPC) have signed a Memorandum of Understanding (MOU) for providing employable skills to 400 candidates from economically weaker sections from the command area of SECL-Bishrampur, Sohagpur, Korba and Chhindwara districts.
“In this project, ATDC would set up training centres at Bishrampur, Sohagpur, Korba districts and would provide residential training at ATDC Chhindwara Campus in Madhya Pradesh wherein, the candidates would be provided Hostel facilities,” AEPC said.
In the project, 300 candidates would be trained under the Self-employed Tailor course and 100 candidates under Apparel Manufacturing Technology.
These courses of ATDC are well recognized by the
garment industry
.
Rakesh Vaid, Senior Vice-Chairman, ATDC said that SECL is giving opportunity to the aspirational youth of India to become an integral part in Indian economy by getting employed for wage as well as self-employment, who also support their families as well.
Live Events
ATDC so far has rolled out more than 4,00,000 candidates for the garment industry.
(You can now subscribe to our
Economic Times WhatsApp channel
)",textile
"From handloom to automated machines, how embroidery machines are getting a modern reincarnation",https://economictimes.indiatimes.com/industry/cons-products/garments-/-textiles/from-handloom-to-automated-machines-how-embroidery-machines-are-getting-a-modern-reincarnation/articleshow/118596659.cms,27-02-2025,"Embroidery, once a painstaking craft mastered by skilled artisans, is now undergoing a remarkable transformation. From hand-stitched patterns to high-speed, precision-driven designs powered by automated machines, the industry has evolved into a billion-dollar market driven by innovation.
Over the past few decades, embroidery machines have significantly improved efficiency, accessibility, and creativity. With the rise of computer-aided embroidery, the process has become faster, more cost-effective, and scalable—paving the way for
mass customization
and business expansion.
The Shift From Manual Stitching to Smart Machines
For centuries, embroidery was a time-consuming craft that required precision, patience, and skill. In India, traditional embroidery techniques like Zardozi, Chikankari, and Kantha have been globally recognised, but their intricate nature often made large-scale production challenging. The introduction of embroidery machines changed the landscape, first with manually operated models and now with fully automated, computerized systems. Modern embroidery machines come equipped with digital touchscreens, automatic thread cutters, and multi-needle functions, allowing users to create intricate patterns with minimal manual intervention.
""Unlike traditional hand embroidery that could take days or weeks to complete, today’s machines can produce complex designs within hours—making embroidery more accessible to businesses, fashion brands, and even independent entrepreneurs,"" Tapan Kapadia, founder of HSW Embroidery Machines said.
Live Events
Kapadia further noted that built-in design templates and touchscreen controls have made it easier for individuals to enter the embroidery business. “Machines now come with pre-loaded design libraries, allowing even beginners to experiment with embroidery without requiring extensive technical knowledge,” he added.
Computerised Embroidery Machines Transforming the Industry
The biggest game-changer has been the rise of Computer Numerical Control (CNC) technology in embroidery machines. These machines allow manufacturers to digitize patterns, ensuring uniformity and efficiency at an unprecedented scale.
""One of the key advancements is the introduction of multi-needle embroidery machines, which can stitch multiple colors simultaneously, eliminating the need for frequent thread changes. High-end models can now handle over a thousand stitches per minute, making large-scale embroidery not only faster but also more affordable,"" Tapan said.
Brands and textile manufacturers have rapidly adopted these machines to meet growing demand, particularly in the fashion and home décor segments. With automation, businesses can maintain design precision while significantly reducing production costs.
Rising Demand for Customization and Small-Scale Businesses
As the e-commerce boom fuels consumer demand for personalized products, embroidery machines have found new relevance in small-scale businesses. From custom T-shirts and corporate branding to home furnishings, buyers are increasingly looking for unique, tailor-made embroidery.
“Small businesses and entrepreneurs are taking advantage of this shift by investing in user-friendly, compact embroidery machines that offer high-quality results. Whether it’s custom apparel, accessories, or business branding, embroidery machines are enabling people to turn creative ideas into profitable ventures,” HSW Embroidery Machines' Tapan Kapadia said.
The Future of Embroidery Machines
The
embroidery industry
is set to witness even more technological advancements in the coming years. Key trends shaping the future include:
AI and Smart Connectivity:
Cloud-based storage and AI-powered design tools will enable seamless access to embroidery patterns across multiple devices.
3D Embroidery
:
Innovations in texture and depth will add a new dimension to embroidery, enhancing the visual appeal of designs.
Faster Production Speeds:
Future machines will further improve stitching speed while maintaining precision, helping businesses scale operations.
User-Friendly Interfaces:
AI-driven automation will simplify embroidery processes, making them more accessible to both professionals and hobbyists.
Sustainable Practices:
The industry is shifting towards biodegradable threads, water-saving techniques, and eco-friendly production methods to reduce environmental impact.
(You can now subscribe to our
Economic Times WhatsApp channel
)",textile
"Apparel discounts are often forced, not custom-made",https://economictimes.indiatimes.com/industry/cons-products/garments-/-textiles/apparel-discounts-are-often-forced-not-custom-made/articleshow/118586142.cms,27-02-2025,"MUMBAI: Nearly 40% of
clothing products
sold by Indian retailers on discounts or end-of-season sale (EOSS) are due to mismatch between planned inventory and actual sales, according to
Vector Consulting Group
which partnered NielsenIQ for a survey of the industry. In addition, supply chain issues lead to delays with merchandise reaching stores by 7-30 days late, which shortens the full-price-selling window forcing retailers to offer price-offs, as per the report which surveyed 100 companies.
""The biggest drain in business on margins is the discounting. And as we keep getting better at tightening discounting, getting into more and more of channel mix play, (between stores and online), which drives for reduced discounting,"" said Vishak Kumar, CEO, lifestyle business, at
Aditya Birla Fashion and Retail
told investors. Vector said executing in-season stock adjustment manually, such as inter-store transfers, is reactive, slow and inefficient. Lead times of over 6-9 months force brands to plan collections a year in advance, making demand forecasting difficult and increasing risk of unsold stock.
""Brands are forced to plan collections far in advance, leading to mismatches in inventory and forecasting errors. Some popular items are stocked out, while there is an excess inventory of others,"" said
P Senthilkumar
, senior partner at Vector Consulting. ""The consequences of these long lead times are far-reaching and create significant operational and financial challenges for apparel brands. First, delays in the supply chain can lead to delays in store drops (7-30 days). Forecasting errors often result in mismatch between planned inventory and actual sales."" Retailers said the festive season was strong but was followed by tepid demand in winter. Value retailer
V-Mart
said while it plans for inventory, predicting seasonal demand is tough.
""Winter was topsy-turvy. We did plan for an inventory but when you do not get a great season, maybe you need to discount a little more, you need to liquidate your inventory or maybe you get a little leftover of the inventory,"" said Lalit Agarwal, MD at V-Mart. Brands said they have been trying to reduce discounting to offset margin pressure, especially online channels. For instance,
Arvind Fashions
said it delayed discounting and didn't go on EOSS sales with the industry since its full-price sell-through was good.
Live Events
""We have stepped away from anything that could be low-quality growth. So, the tail stores being shut down meant square-foot addition had been low in the first half of last year. Discount-led online growth has been stepped away from. So, there was a very clear trade-off done that low-quality growth should be removed from the business model,"" Kulin Lalbhai, vice-chairman at Arvind Fashions, told investors.
(You can now subscribe to our
Economic Times WhatsApp channel
)",textile
"Step up your sock game: Bold, quirky socks are in, and indie brands are leading the way",https://economictimes.indiatimes.com/industry/cons-products/garments-/-textiles/step-up-your-sock-game-bold-quirky-socks-are-in-and-indie-brands-are-leading-the-way/articleshow/118487510.cms,22-02-2025,"Can a pair of boring grey socks spark a business idea?
Kapil Garg
would say, yes. He set up his company,
Thela Gaadi
, in 2021 to sell
quirky socks
, after he glanced at his own uninspiring pair. Back in 2014, as a corporate workhorse, Garg would wear formal attire and soon realised that socks were the only things he could play around with. “One day, I peeped at my shoes and found those boring grey socks sadly looking at me and I wondered why my socks couldn’t be colourful?” Later, while holidaying in Thailand, he picked up
novelty socks
from the local market.
“The socks became a talking point in the office. But the cheap material didn’t last long. This was how the seed for Thela Gaadi was sown.” Garg is a firm believer in the power of socks to elevate your style.
Justin Trudeau would know. His future as the prime minister of Canada might be in doubt, but there is no questioning an enduring legacy—his quirky, colourful and political socks, from pink to rainbow, that gave him a leg-up when he burst into the global political scene. Even as Trudeau’s tootsies made the Canadian Conservative MP Tom Kmiec suggest the appointment of a “minister for sock selection”, his willingness to subvert the drab stereotype of male political style will find a footnote in fashion history.
Quirky socks have been a global trend for over a decade and are largely driven by the rise of
self-expression in fashion
, says stylist and brand image consultant Rishi Raj. Socks have become a stand-in for personality in the dress code of the modern male professional—men account for nearly 65% of the global socks market. In India, Raj attributes the rising trend to the growth of homegrown brands, social media and casual dress codes at the workplace. While designers like Paul Smith have experimented with colours and patterns in socks, it was not until the Swedish brand Happy Socks launched in 2008 that the world noticed quirky socks as a category. In India, there are a slew of indie socks startups such as
Soxytoes
, Thela Gaadi,
Hexafun
,
Sock Republic
,
Dynamocks
, Bombay Socks, Mint & Oak and Balenzia, to name a few.
Live Events
BEST FEET FORWARD
Novelty socks are here to challenge the old style norms, says Aayush Goenka, founder of Delhibased Soxytoes, which was launched in 2017 to focus on the “noticeable” socks market. He says the novelty, funky, quirky or noticeable—however one qualifies it—socks market in India is powered by millennials and Gen Z. “While India’s share in the global socks market is less than 2%, the good news is that millennials and zoomers account for half of the Indian socks market. The potential market in India is worth Rs 2,500 crore,” claims Goenka.
Harshit Singhal, cofounder of Delhi-based socks and accessories startup Hexafun, says that in India, quirky socks caught on after actors like Ayushman Khurana, Vicky Kaushal and Ranveer Singh were spotted sporting them. He says, “These socks accentuate the overall look with minimal effort that appeals to our main audience, Gen Z, which lives for likes and wants something new to flaunt every day without burning a hole in their pocket.”
Singhal, along with cofounder Manali Sanghvi, started Hexafun with 25 orders a day in 2021. It has now gone up to 1,500 orders daily. Singhal says they have sold over a million pieces. The biggest learning is that there exists a huge audience that still needs to be educated. “Going forward, the investment in education is going to be higher for us to bring about a shift in consumer behaviour. India is still evolving as a market, so it’s important to maintain a balance in designs—from geometric to pop culture to plain bold colours,” he says.
Agrees Manish Gaur, operations manager of Sock Republic, a Noidabased company that was started by Ankur Jain in 2018 to cater to the novelty socks market. Gaur says they have had a 25% growth every year, with a 60:40 ratio of male and female consumers. The brand works on 15-20 new designs every two-three months. It is also adding 10-15 designs in solid colours to the offering. Gaur says when Sock Republic started out, there were very few such brands; now, it seems, the market is flooded. “Almost every day I see new brands on Instagram, but many have shut shop, too,” he says, attributing the jump to the audience coming online.
Goenka of Soxytoes says that since their target customer is less than 45 years of age, they restrict their advertising spend to digital channels, mainly Instagram, but they are also exploring Snapchat and YouTube. He says, “In the past 6+ years, we have sold around 15 lakh pairs.” The brand expects to cross 25 lakh pairs by the end of 2025.
Garg admits that the quirky socks market is getting crowded, but he says designs and quality will be key differentiators. He adds, “Customers want to know the story behind each and every article to connect with it.” He is now noticing a demand for bamboo and organic materials. However, bamboo is not as green as it appears due to its processing and dyes. For reasonably sustainable socks, look for certified organic cotton labels.
Arti Sandhu, an associate professor of fashion design in t he College of Design , Architecture, Art and Planning at the University of Cincinnati, US, showcases her style experiments on her Instagram page @sideways_ toupee and is somewhat of a sockfluencer too. Sandhu says socks and stockings add an extra element to a look for her. “More often than not, they help me either anchor the outfit or connect them to my footwear,” she says.
SOCKS STYLING
The key to styling an unusual accessory is to make it seem deliberate or intentional. A well-curated pair of socks can tie together accessories like a lapel pin, pocket square, or even button detailing, says menswear designer Sandeep Gonsalves, cofounder and creative director, Sarah & Sandeep. His tips? In a corporate setting, start with understated prints in rich hues like burgundy and forest green, opt for muted geometric or tonal patterns, invest in high-quality fabrics and pair bold socks with sleek silhouettes.
Sandhu swears by French brand Bonne Mason for patterns, New Zealand Sock Company for 100% merino socks and counts handknitted Himachali socks as her personal favourite. Her styling tips? “Try connecting the colour of your dress/skirt/pants with matching socks and shoes. It creates a lovely elongation and a fun detail that everyone notices.” Balance is key when it comes to sock styling, says Raj. If your socks are bold, keep the rest of your outfit neutral. Match your socks with an element of your outfit—it can be your tie, shirt, or even subtle accents on your shoes. Avoid loud prints in formal settings. “And mind the length—no ankle peeking under formal trousers.”
Raj notes that the choice of socks is determined by the outfit and the shoes. “With suits, go for a pop of colour in the socks; with cropped trousers, let the socks be a statement; with skirts and dresses, opt for kneehigh socks; and with sneakers and loafers, you can go all out.” As Gonsalves says, “I am all for the art of layering. Let your socks be an unexpected layer of contrast. It can serve as a conversation starter.” It’s time to pull your socks up.
(You can now subscribe to our
Economic Times WhatsApp channel
)",textile
250 technical textile firms take part in Bharat Tex,https://economictimes.indiatimes.com/industry/cons-products/garments-/-textiles/250-technical-textile-firms-take-part-in-bharat-tex/articleshow/118458846.cms,21-02-2025,"About 250 companies participated in India’s flagship textile event
Bharat Tex 2025
through Man made Fibre and
Technical Textiles
Export Promotion Council (
MATEXIL
), and about 370 foreign buyers from different countries had visited the event on the invitations and arrangements made by the council.
“While India has got its strength in cotton, it is making rapid progress in the Manmade Fibre Textiles,” said
Bhadresh Dodhia
, Chairman of MATEXIL, adding that the industry is ready to invest to meet the growing demand for man made fibres.
However, he said that
textile recycling
will need investments.
India’s technical textile sector is growing and the size of the domestic market has increased to about $22 billion. Dodhia said
that MATEXIL has put in place a vision and an Action Plan to increase exports of technical textiles and is engaging closely with the manufacturers and exporters.
As per the textile ministry, Bharat Tex 2025 had drawn over 5,000 exhibitors and participation from more than 120 countries. The expo covers the entire value chain of textiles including fibre, yarn, fabrics, garments, made-ups, home textiles and technical textiles.
Live Events
The main event was held from February 14-17, 2025 at Bharat Mandapam while related exhibitions such as accessories, garment machinery, dyes and chemicals and handicrafts, were held from February 12-15 at the
India Expo Centre
and Mart Greater Noida.
(You can now subscribe to our
Economic Times WhatsApp channel
)",textile
AEPC to expand apparel exports into newer markets in 2025-26,https://economictimes.indiatimes.com/industry/cons-products/garments-/-textiles/aepc-to-expand-apparel-exports-into-newer-markets-in-2025-26/articleshow/118455945.cms,21-02-2025,"Apparel exporters body
AEPC
on Friday said it is planning to expand the global reach of Indian apparel in 2025-26 by diversifying into newer and
non-traditional markets
to boot shipments. The sector's exports rose by 11.6 per cent to about USD 13 billion during April-January 2024-25 despite global headwinds, geopolitical challenges and supply chain disruptions, Apparel
Export Promotion
Council (AEPC) Chairman Sudhir Sekhri said.
""The council has planned to promote the global reach of Indian apparel exports by diversification of markets to newer and non-traditional markets through its export promotion activities in 2025-26,"" he said.
He added that the government's key initiatives such as
production linked incentive scheme
, extension of RoSCTL (Rebate of State and Central Taxes and Levies ), free trade agreements with the UAE and Australia, will surely accelerate growth of the sector.
AEPC Secretary General Mithileshwar Thakur said the exports in traditional big markets like the US and Europe are registering healthy growth rates.
""Exports of
ready-made garments
have grown by 13.8 per cent in the US, 8.9 per cent in the UK, 10.6 per cent in Germany and 19.7 per cent in Spain,"" Thakur said.
(You can now subscribe to our
Economic Times WhatsApp channel
)",textile
Demand outlook remains strong for Indian textile sector: Report,https://economictimes.indiatimes.com/industry/cons-products/garments-/-textiles/demand-outlook-remains-strong-for-indian-textile-sector-report/articleshow/118376527.cms,19-02-2025,"Although domestic
cotton prices
remain higher than international prices, the overall demand scenario seems to be improving according to a report by Systematix Institutional Equities Research.
It can recover spread in the coming quarters to support the profitability and operational efficiency of Indian textile companies.
The report says the demand outlook remains strong for the
Indian textile sector
because of the normalizing channel inventories at the global retailer level, likely tariff hike by the US on China, rising labour costs in Vietnam, and ongoing political instability in Bangladesh.
The report however raised concern about the capacity constraints of the Indian garment manufacturers, which could limit their ability to take full advantage of the expected surge in demand.
It however noted that driven by stable cotton prices, favourable forex rates, and continued focus on operational efficiency the profitability of Indian manufacturers will improve in the coming quarters.
Live Events
Indian textile companies recorded healthy (YoY) performance with revenue grown by 11 per cent EBITDA growth of 11 per cent and profit after tax (PAT) growth of 28 per cent on an YoY basis. The subdued cotton prices which were down 10 per cent (YoY) and stable yarn prices aided gross margin expansion for spinners.
The
Union Budget 2025-26
also focuses on strengthening the textile sector through cotton productivity initiatives, duty restructuring on fabric, and supporting domestic manufacturing.
Earlier the Government had increased allocation for the textiles sector to Rs 52.7 bn from Rs 44.2 bn in Budget 2024-25.
The government's focus on the Productivity Linked Incentive (PLI) scheme, manmade fibre, 5-year mission to facilitate productivity improvements, sustainability of cotton farming and the technical textile (TT) market will boost the growth of the Indian textile sector.
An increase in customs duty in the union budget 2025-26 on the import of fabrics will be advantageous to India's technical textile producers.
The Cotton Association of India (CAI) has lowered the cotton production forecast for the 2024-25 season (October-September) by 7.8 per cent (YoY) to 30.17 million bales (170kg per bale) in its January 2025 report from 30.4 million bales in its December 2024 report.
Domestic consumption may stay unchanged at 31.5mn bales in the current season (2024-25). CAI expects a closing stock of 2.59 million bales at the end of the season vs. 3.02 million bales in the last season. However contrary to this, the ICAR-Central Institute of Cotton Research (CICR) forecasts production at 32.0 million bales.
This figure exceeds earlier estimates ranging between 29.9 million bales and 30.4 million bales.
International cotton prices however have steadily declined and currently hover at USD 0.67- 0.68 per pound vs. USD 0.70 in 2QFY25.
Indian cotton prices have slightly firmed to Rs 54,000-55,000/candy (USD 0.80 per pound) from Rs 52,000- 53,000/candy in 2Q and continue to quote at a premium to international prices.
With a likely reasonable cotton crop, the prices are likely to remain at the lower end of the above range, ensuring predictable input costs in future. (ANI)
(You can now subscribe to our
Economic Times WhatsApp channel
)",textile
