Date,Open,High,Low,Close,Adj_Close,Volume,ewma_3
2023-01-09,1271.85,1300.9,1269.55,1298.28,1280.41,596984.0,-0.0070610768930964
2023-01-10,1302.03,1302.5,1273.03,1278.97,1261.38,305284.0,-0.0070610768930964
2023-01-11,1277.6,1279.1,1261.0,1262.75,1245.38,255590.0,-0.0070610768930964
2023-01-12,1262.5,1265.95,1232.82,1236.05,1219.04,370686.0,-0.0070610768930964
2023-01-13,1234.3,1236.6,1217.4,1233.68,1216.7,497964.0,-0.0070610768930964
2023-01-16,1237.45,1239.88,1218.03,1222.35,1205.53,280012.0,-0.0070610768930964
2023-01-17,1226.57,1241.75,1226.0,1239.28,1222.22,373940.0,-0.0070610768930964
2023-01-18,1239.5,1245.75,1230.22,1237.3,1220.28,253628.0,-0.0070610768930964
2023-01-19,1237.1,1240.47,1228.75,1235.55,1218.55,403116.0,-0.0070610768930964
2023-01-20,1240.85,1240.85,1219.05,1221.35,1204.55,348024.0,-0.0070610768930964
2023-01-23,1225.0,1233.0,1213.0,1214.8,1198.09,427720.0,-0.0070610768930964
2023-01-24,1216.25,1221.95,1194.32,1207.57,1190.96,698698.0,-0.0070610768930964
2023-01-25,1205.0,1207.4,1190.5,1191.47,1175.08,207828.0,-0.0070610768930964
2023-01-27,1190.97,1194.03,1156.05,1168.88,1152.79,905164.0,-0.0070610768930964
2023-01-30,1168.88,1184.7,1150.57,1175.65,1159.48,2784388.0,-0.0070610768930964
2023-01-31,1192.5,1193.05,1170.85,1176.95,1160.76,200592.0,-0.0070610768930964
2023-02-01,1190.0,1190.45,1152.5,1169.03,1152.94,1147338.0,-0.0070610768930964
2023-02-02,1162.5,1173.85,1155.68,1163.4,1147.39,208362.0,-0.0070610768930964
2023-02-03,1172.5,1173.95,1146.6,1164.53,1148.5,297608.0,-0.0070610768930964
2023-02-06,1162.5,1162.5,1153.38,1155.75,1139.85,412526.0,-0.0070610768930964
2023-02-07,1156.0,1163.5,1146.55,1152.95,1137.09,450188.0,-0.0070610768930964
2023-02-08,1155.65,1179.8,1153.57,1175.9,1159.72,537700.0,-0.0070610768930964
2023-02-09,1178.68,1185.4,1167.03,1177.7,1161.5,177704.0,-0.0070610768930964
2023-02-10,1178.5,1178.5,1160.8,1168.18,1152.1,254636.0,-0.0070610768930964
2023-02-13,1168.8,1175.0,1157.03,1161.38,1145.4,159672.0,-0.0070610768930964
2023-02-14,1162.6,1190.5,1162.0,1188.7,1172.35,249626.0,-0.0070610768930964
2023-02-15,1193.9,1218.5,1187.5,1215.05,1198.33,734144.0,-0.0070610768930964
2023-02-16,1225.0,1231.5,1212.5,1214.82,1198.11,554736.0,-0.0070610768930964
2023-02-17,1212.47,1223.45,1205.3,1219.93,1203.14,211820.0,-0.0070610768930964
2023-02-20,1220.2,1224.72,1205.18,1207.65,1191.03,442830.0,-0.0070610768930964
2023-02-21,1210.5,1223.0,1206.22,1217.25,1200.5,335548.0,-0.0070610768930964
2023-02-22,1214.0,1215.0,1188.03,1189.5,1173.13,577274.0,-0.0070610768930964
2023-02-23,1188.0,1197.47,1180.75,1183.78,1167.49,531688.0,-0.0070610768930964
2023-02-24,1187.5,1197.8,1184.32,1192.9,1176.49,499300.0,-0.0070610768930964
2023-02-27,1189.3,1194.5,1176.22,1184.55,1168.25,494908.0,-0.0070610768930964
2023-02-28,1187.5,1187.5,1157.38,1160.97,1145.0,600470.0,-0.0070610768930964
2023-03-01,1171.1,1172.75,1161.78,1171.63,1155.51,367448.0,-0.0070610768930964
2023-03-02,1165.5,1175.4,1160.85,1163.93,1147.91,179944.0,-0.0070610768930964
2023-03-03,1172.0,1196.5,1170.45,1192.53,1176.12,533898.0,-0.0070610768930964
2023-03-06,1197.5,1212.25,1197.5,1203.9,1187.34,337694.0,-0.0070610768930964
2023-03-08,1200.6,1210.0,1193.22,1208.78,1192.14,199564.0,-0.0070610768930964
2023-03-09,1209.95,1209.95,1178.07,1180.07,1163.84,599238.0,-0.0070610768930964
2023-03-10,1171.65,1171.65,1157.6,1161.57,1145.59,674612.0,-0.0070610768930964
2023-03-13,1164.0,1172.0,1137.5,1142.45,1126.73,661936.0,-0.0070610768930964
2023-03-14,1140.57,1152.5,1134.82,1138.25,1122.59,658652.0,-0.0070610768930964
2023-03-15,1142.45,1149.5,1114.0,1118.43,1103.04,845474.0,-0.0070610768930964
2023-03-16,1118.53,1127.47,1101.15,1113.03,1097.71,507464.0,-0.0070610768930964
2023-03-17,1124.5,1125.78,1106.45,1111.53,1096.23,732562.0,-0.0070610768930964
2023-03-20,1111.5,1111.5,1090.0,1100.8,1085.66,451494.0,-0.0070610768930964
2023-03-21,1111.0,1136.93,1109.0,1135.03,1119.41,883492.0,-0.0070610768930964
2023-03-22,1140.05,1145.65,1135.0,1138.32,1122.66,461434.0,-0.0070610768930964
2023-03-23,1135.0,1135.0,1121.88,1123.78,1108.31,416894.0,-0.0070610768930964
2023-03-24,1123.8,1125.0,1099.0,1101.75,1086.59,356432.0,-0.0070610768930964
2023-03-27,1107.75,1127.0,1100.25,1118.75,1103.36,630892.0,-0.0070610768930964
2023-03-28,1120.63,1128.0,1118.75,1123.97,1108.51,227436.0,-0.0070610768930964
2023-03-29,1120.95,1122.5,1105.63,1117.63,1102.25,318062.0,-0.0070610768930964
2023-03-31,1128.0,1171.5,1127.28,1165.53,1149.49,1234338.0,-0.0070610768930964
2023-04-03,1172.55,1174.57,1157.5,1165.88,1149.83,428430.0,0.0220624047504574
2023-04-05,1170.88,1173.3,1154.25,1162.75,1146.75,516000.0,-0.002792661272681
2023-04-06,1160.0,1177.25,1159.03,1170.5,1154.4,289284.0,-0.0534844795453621
2023-04-10,1173.0,1175.2,1160.95,1162.3,1146.31,187190.0,0.023079275274205
2023-04-11,1165.0,1170.5,1162.0,1168.15,1152.08,210020.0,0.0341938890968203
2023-04-12,1168.15,1184.13,1165.03,1173.2,1157.06,396328.0,-0.0308495078063593
2023-04-13,1175.0,1182.95,1171.07,1177.82,1161.62,424136.0,-0.0674923324508745
2023-04-17,1207.5,1207.5,1174.6,1183.4,1167.12,588864.0,0.0194480385761156
2023-04-18,1185.35,1188.05,1163.0,1170.03,1153.93,303610.0,0.0632569701522313
2023-04-19,1168.5,1179.0,1166.13,1175.82,1159.65,192174.0,0.0632569701522313
2023-04-20,1175.1,1179.5,1166.5,1172.85,1156.71,280394.0,0.0291820612178507
2023-04-21,1174.03,1180.43,1169.0,1174.45,1158.29,198768.0,0.0330985704357014
2023-04-24,1182.5,1191.45,1174.35,1178.57,1162.36,507358.0,0.0005171919712232
2023-04-25,1184.4,1190.5,1175.18,1187.55,1171.21,184698.0,0.0005171919712232
2023-04-26,1189.9,1190.75,1176.93,1181.03,1164.78,291240.0,-0.0193411184604273
2023-04-27,1182.5,1191.5,1182.0,1188.75,1172.39,171544.0,0.0259461330791452
2023-04-28,1189.93,1212.0,1189.9,1210.1,1193.45,789944.0,0.0384754281582905
2023-05-02,1220.0,1223.0,1214.38,1220.53,1203.73,291696.0,0.0021952372663241
2023-05-03,1223.5,1223.5,1206.68,1209.9,1193.25,178778.0,-0.0091822584673517
2023-05-04,1211.7,1226.13,1207.13,1223.9,1207.06,176872.0,-0.0169411850347034
2023-05-05,1222.0,1230.85,1217.88,1220.65,1203.86,162966.0,-0.0110422820694068
2023-05-08,1225.47,1241.75,1222.43,1235.68,1218.67,185192.0,-0.0110422820694068
2023-05-09,1237.5,1243.47,1231.75,1239.57,1222.52,130440.0,-0.0305651212776273
2023-05-10,1242.8,1249.95,1240.75,1248.15,1230.98,198166.0,0.0302836448894905
2023-05-11,1249.75,1254.5,1236.9,1239.15,1222.1,197700.0,0.0221127491159248
2023-05-12,1238.5,1244.0,1228.28,1242.05,1224.96,122854.0,0.0258461264636991
2023-05-15,1243.0,1251.88,1236.3,1244.07,1226.96,135256.0,0.0640224596383737
2023-05-16,1248.0,1249.0,1225.5,1226.93,1210.04,166596.0,-0.0174232807232524
2023-05-17,1230.18,1231.85,1214.6,1219.4,1202.62,316596.0,0.0127822071069902
2023-05-18,1227.4,1228.05,1214.0,1216.93,1200.18,113646.0,-0.0121625562881567
2023-05-19,1216.35,1222.88,1209.78,1221.4,1204.6,109760.0,-0.0184875026105081
2023-05-22,1215.0,1232.5,1215.0,1227.25,1210.37,288272.0,-0.0187440638900778
2023-05-23,1232.5,1234.13,1225.93,1227.05,1210.17,174994.0,-0.0508112617801556
2023-05-24,1223.3,1231.5,1216.65,1218.53,1201.76,308638.0,-0.0304694571206224
2023-05-25,1216.75,1224.22,1207.85,1219.28,1202.5,372388.0,-0.0137907969649796
2023-05-26,1226.8,1255.0,1224.57,1253.28,1236.03,522242.0,-0.0872562618599184
2023-05-29,1259.5,1265.0,1253.47,1259.9,1242.57,832422.0,-0.0344965508793473
2023-05-30,1260.0,1268.72,1256.95,1259.7,1242.37,292886.0,-0.0761583607173894
2023-05-31,1253.47,1254.47,1230.85,1237.35,1220.33,410152.0,0.0124487471304421
2023-06-01,1239.0,1242.22,1228.97,1231.03,1214.09,480548.0,0.0026742575217687
2023-06-02,1237.5,1241.4,1225.53,1227.47,1210.59,202448.0,-0.058367837912925
2023-06-05,1232.55,1241.85,1229.05,1238.4,1221.36,238058.0,-0.0598030140517
2023-06-06,1240.65,1245.05,1231.28,1240.13,1223.06,231094.0,0.0008674207931997
2023-06-07,1243.05,1249.78,1236.18,1248.78,1231.59,422682.0,0.0038360896863994
2023-06-08,1251.2,1258.0,1245.5,1249.9,1232.7,272972.0,-0.0401815441088047
2023-06-09,1247.53,1254.05,1239.03,1240.95,1223.88,339280.0,-0.0735116562176095
2023-06-12,1239.0,1244.5,1232.55,1241.55,1224.47,151098.0,-0.0014315497635035
2023-06-13,1245.38,1261.65,1243.13,1260.2,1242.86,411018.0,-0.019820201527007
2023-06-14,1259.03,1277.5,1258.3,1276.3,1258.74,393474.0,-0.019820201527007
2023-06-15,1273.53,1280.95,1267.6,1275.78,1258.22,568880.0,-0.0031715262160563
2023-06-16,1277.8,1290.5,1277.8,1287.7,1269.98,301130.0,-0.0031715262160563
2023-06-19,1291.1,1292.0,1271.7,1275.75,1258.2,331132.0,-0.0505326353138039
2023-06-20,1275.25,1282.0,1267.5,1273.38,1255.86,342718.0,-0.0828232616276078
2023-06-21,1278.18,1284.55,1273.97,1281.8,1264.16,289420.0,-0.0783063665104313
2023-06-22,1280.85,1286.45,1266.13,1267.8,1250.36,123240.0,-0.0127112960417254
2023-06-23,1265.0,1266.4,1255.55,1257.63,1240.32,579992.0,0.0071903878330983
2023-06-26,1252.0,1257.95,1244.63,1247.1,1229.94,395564.0,-0.0456546173338033
2023-06-27,1250.5,1255.0,1243.2,1247.9,1230.73,297844.0,0.0248615813323933
2023-06-28,1258.0,1268.63,1248.85,1264.68,1247.28,343242.0,-0.0100701713352132
2023-06-30,1270.03,1278.35,1266.5,1275.35,1257.8,579648.0,-0.0144596953408529
2023-07-03,1276.6,1311.0,1276.6,1307.6,1289.61,1034428.0,0.0170151525463523
2023-07-04,1310.5,1313.25,1286.63,1294.13,1276.32,379646.0,0.0170151525463523
2023-07-05,1300.28,1302.0,1287.85,1292.4,1274.62,123536.0,0.0170151525463523
2023-07-06,1288.0,1322.15,1288.0,1319.18,1301.03,1238818.0,0.0170151525463523
2023-07-07,1316.4,1332.5,1313.7,1317.72,1299.6,1153536.0,0.0219046511854093
2023-07-10,1343.0,1377.5,1336.38,1367.57,1348.76,2221140.0,-0.0352008471337987
2023-07-11,1375.1,1384.93,1369.25,1382.15,1363.13,1054808.0,-0.0352008471337987
2023-07-12,1384.93,1401.1,1381.0,1383.1,1364.07,650442.0,-0.002143334535195
2023-07-13,1390.45,1399.97,1368.88,1371.57,1352.7,523146.0,-0.0019428621407802
2023-07-14,1375.53,1380.4,1361.88,1369.45,1350.61,998646.0,-0.0035507365631209
2023-07-17,1373.35,1408.0,1364.28,1398.2,1378.96,907280.0,-0.0035507365631209
2023-07-18,1406.03,1419.0,1397.0,1411.2,1391.78,728888.0,-0.0096796720198711
2023-07-19,1416.0,1427.5,1398.22,1420.0,1400.46,1564670.0,-0.0096796720198711
2023-07-20,1294.5,1316.0,1291.0,1309.9,1291.88,801360.0,0.0069214996820614
2023-07-21,1301.5,1306.9,1261.68,1268.1,1250.65,1793976.0,0.028011097725965
2023-07-24,1242.0,1257.4,1234.78,1243.78,1226.66,456610.0,0.028011097725965
2023-07-25,1245.75,1252.5,1240.03,1242.35,1225.26,398476.0,0.0894423939235286
2023-07-26,1240.05,1273.63,1240.05,1262.85,1245.48,265918.0,0.0505079478470573
2023-07-27,1264.5,1269.0,1245.72,1253.15,1235.91,202278.0,0.0564440236116719
2023-07-28,1254.53,1270.95,1250.5,1263.8,1246.41,1289934.0,0.0336853328933757
2023-07-31,1263.95,1276.82,1259.38,1273.93,1256.4,170040.0,0.0336853328933757
2023-08-01,1273.93,1279.5,1252.95,1256.32,1239.04,340426.0,0.0336853328933757
2023-08-02,1250.0,1255.9,1231.6,1243.18,1226.07,368980.0,0.0611995685735029
2023-08-03,1235.72,1249.95,1229.0,1237.47,1220.45,421894.0,-0.0469540674119762
2023-08-04,1242.5,1258.6,1236.0,1255.07,1237.81,1419590.0,-0.033053573647905
2023-08-07,1257.5,1264.18,1252.53,1261.72,1244.37,586260.0,0.0310397996335198
2023-08-08,1262.65,1267.3,1249.72,1252.82,1235.59,303510.0,0.0310397996335198
2023-08-09,1253.5,1264.7,1240.5,1261.78,1244.42,425596.0,0.0410864270681589
2023-08-10,1263.5,1275.0,1254.4,1267.82,1250.38,401654.0,-0.030288455727364
2023-08-11,1267.72,1279.15,1256.05,1274.0,1256.47,594940.0,-0.0126197979094561
